risk_level,repo_domain,candidate_type,primary_service,branch_type,workflow_kind,hour,day_of_week,is_weekend,is_friday,is_off_hours,is_deployment_intent,run_attempt,commit_age_hours,commit_parent_count,additions,deletions,code_churn,changed_files,file_extension_entropy,service_area_count,service_criticality,is_database_migration,is_infrastructure_change,is_dependency_change,is_config_change,is_security_change,is_test_change,test_to_source_file_ratio,is_docs_only,has_lockfile_change,is_hotfix,is_revert,is_breaking_change,deployments_7d,deployments_30d,recent_change_velocity_7d,past_failed_runs_7d,past_failure_rate_30d,past_incidents_14d,past_rollbacks_30d,time_since_last_deployment_hours,actor_prior_deployments,actor_prior_failure_rate,service_deployments_30d,service_incident_rate_30d,on_call_available,expected_on_call_response_minutes,on_call_load_24h
Medium,platform,mainline_delivery_proxy,shared_platform,main,verification,16,4,0,1,0,0,1,0.0016666666666666668,2,18,15,33,5,1.371,1,3,0,0,1,0,0,0,0.0,0,1,0,0,0,10,10,8145.0,1,0.1,7,2,0.9305555555555556,10.0,0.1,0,0.0,1,24.0,2
Medium,platform,explicit_deployment_intent,identity_security,main,deployment,16,4,0,1,0,1,1,0.001388888888888889,2,164,148,312,47,1.5347,6,5,0,1,1,0,1,1,0.0465,0,1,0,0,0,11,11,8178.0,1,0.09090909090909091,7,2,0.0016666666666666668,11.0,0.09090909090909091,5,0.6,1,27.0,3
High,platform,explicit_deployment_intent,database,main,deployment,23,5,1,0,1,1,1,0.0016666666666666668,2,22367,2784,25151,252,1.9337,7,5,1,1,1,1,1,0,0.0,0,1,0,0,0,12,12,8490.0,1,0.08333333333333333,8,3,31.202222222222222,12.0,0.08333333333333333,2,1.0,1,37.0,0
Low,platform,mainline_delivery_proxy,observability,main,other,14,6,1,0,0,0,1,0.001388888888888889,2,1797,3829,5626,118,0.9429,2,3,0,0,1,0,0,0,0.0,0,1,0,0,0,13,13,33641.0,1,0.07692307692307693,9,4,14.262222222222222,13.0,0.07692307692307693,0,0.0,1,28.0,1
High,platform,explicit_deployment_intent,identity_security,main,deployment,23,0,0,0,1,1,1,0.001388888888888889,2,31,32,63,24,1.7091,4,5,0,1,1,0,1,0,0.0,0,1,0,0,0,14,14,39267.0,1,0.07142857142857142,10,4,33.500277777777775,14.0,0.07142857142857142,6,0.6666666666666666,1,30.0,0
High,platform,explicit_deployment_intent,database,main,deployment,0,1,0,0,1,1,1,0.0011111111111111111,2,167,121,288,61,1.2789,6,5,1,1,1,0,1,0,0.0,0,1,0,0,0,15,15,39330.0,1,0.06666666666666667,11,5,0.8997222222222222,15.0,0.06666666666666667,3,1.0,1,33.0,1
Medium,platform,explicit_deployment_intent,identity_security,main,deployment,20,3,0,0,1,1,1,0.0011111111111111111,2,185,114,299,41,1.3944,6,5,0,1,1,0,1,0,0.0,0,1,0,0,0,0,16,0.0,0,0.0625,0,6,404.22277777777776,16.0,0.0625,7,0.7142857142857143,1,30.0,0
High,platform,explicit_deployment_intent,identity_security,main,deployment,21,0,0,0,1,1,1,0.0011111111111111111,2,2677,3024,5701,154,1.5926,5,5,0,1,1,0,1,0,0.0,0,1,0,0,0,1,17,299.0,0,0.058823529411764705,1,6,96.89527777777778,17.0,0.058823529411764705,8,0.75,0,108.14,0
Medium,platform,explicit_deployment_intent,identity_security,main,deployment,22,1,0,0,1,1,1,0.001388888888888889,2,610,412,1022,96,1.7836,6,5,0,1,1,0,1,0,0.0,0,1,0,0,0,2,18,6000.0,0,0.05555555555555555,2,7,25.16611111111111,18.0,0.05555555555555555,9,0.7777777777777778,1,30.0,0
Low,platform,mainline_delivery_proxy,shared_platform,main,verification,5,3,0,0,1,0,1,0.0016666666666666668,2,24,3,27,5,1.371,1,3,0,0,1,0,0,0,0.0,0,1,0,0,0,3,19,7022.0,0,0.05263157894736842,3,8,30.903333333333332,19.0,0.05263157894736842,1,0.0,0,95.12,0
Low,platform,mainline_delivery_proxy,api_backend,main,other,18,3,0,0,0,0,1,0.0016666666666666668,2,530,62,592,16,1.7988,2,4,0,0,1,0,0,0,0.0,0,1,0,0,0,4,20,7049.0,0,0.05,4,8,12.731388888888889,20.0,0.05,1,1.0,1,21.0,1
High,platform,explicit_deployment_intent,database,main,deployment,10,4,0,1,0,1,1,0.0016666666666666668,2,518,513,1031,119,2.074,7,5,1,1,1,0,1,0,0.0,0,1,0,0,0,4,21,7342.0,0,0.047619047619047616,4,8,15.750833333333333,21.0,0.047619047619047616,4,1.0,1,21.0,1
High,platform,mainline_delivery_proxy,database,main,other,15,0,0,0,0,0,1,0.0016666666666666668,2,62,7237,7299,79,1.692,7,5,1,1,1,0,1,1,0.1905,0,1,0,0,0,5,10,8373.0,0,0.0,5,6,77.67555555555556,22.0,0.045454545454545456,3,1.0,1,18.0,0
High,platform,explicit_deployment_intent,identity_security,main,deployment,17,1,0,0,0,1,1,0.0019444444444444444,2,2956,2221,5177,111,1.623,5,5,0,1,1,1,1,0,0.0,0,1,0,0,0,5,9,9971.0,0,0.0,6,6,25.370555555555555,23.0,0.043478260869565216,4,1.0,1,18.0,0
High,platform,explicit_deployment_intent,database,main,deployment,20,2,0,0,1,1,1,0.0016666666666666668,2,7412,21254,28666,207,1.9328,7,5,1,1,1,1,1,0,0.0,0,1,0,0,0,5,10,14126.0,0,0.0,7,6,27.699444444444445,24.0,0.041666666666666664,3,1.0,0,126.2,0
Medium,platform,explicit_deployment_intent,identity_security,main,deployment,20,3,0,0,1,1,1,0.0016666666666666668,2,162,154,316,26,1.6409,3,5,0,1,1,0,1,0,0.0,0,1,0,0,0,4,9,42173.0,0,0.0,8,5,23.769444444444446,25.0,0.04,4,1.0,1,33.0,1
High,platform,explicit_deployment_intent,database,main,deployment,0,2,0,0,1,1,1,0.001388888888888889,2,306,147,453,66,1.4775,6,5,1,1,1,0,1,1,0.0645,0,1,0,0,0,2,10,28982.0,0,0.0,6,6,123.47,26.0,0.038461538461538464,3,1.0,1,30.0,0
Medium,platform,mainline_delivery_proxy,database,main,other,11,3,0,0,0,0,1,0.001388888888888889,2,49,12,61,9,2.9477,1,5,1,0,1,0,0,0,0.0,0,1,0,0,0,2,11,769.0,0,0.0,6,6,35.83416666666667,27.0,0.037037037037037035,4,1.0,1,18.0,0
Low,platform,mainline_delivery_proxy,shared_platform,main,verification,18,3,0,0,0,0,1,0.0016666666666666668,2,3,3,6,2,1.0,1,3,0,0,1,0,0,0,0.0,0,1,0,0,0,3,12,830.0,0,0.0,7,6,6.068888888888889,28.0,0.03571428571428571,1,1.0,1,21.0,1
High,platform,explicit_deployment_intent,identity_security,main,deployment,21,3,0,0,1,1,1,0.001388888888888889,2,199,243,442,34,1.7014,4,5,0,1,1,0,1,0,0.0,0,1,0,0,0,3,13,520.0,0,0.0,8,6,3.5991666666666666,29.0,0.034482758620689655,5,1.0,0,104.33,2
High,platform,explicit_deployment_intent,database,main,deployment,6,4,0,1,1,1,1,0.001388888888888889,2,3584,28,3612,18,1.5158,3,5,1,1,1,0,0,1,0.0588,0,0,0,0,0,4,14,962.0,0,0.0,9,7,9.029444444444444,30.0,0.03333333333333333,5,1.0,1,39.0,3
Medium,platform,explicit_deployment_intent,identity_security,main,deployment,15,2,0,0,0,1,1,0.001388888888888889,2,829,334,1163,118,1.398,5,5,0,1,1,0,1,0,0.0,0,1,0,0,0,4,15,4121.0,0,0.0,7,8,128.58083333333335,31.0,0.03225806451612903,6,1.0,1,18.0,0
Medium,platform,explicit_deployment_intent,identity_security,main,deployment,10,3,0,0,0,1,1,0.0016666666666666668,2,1465,183,1648,75,1.8865,6,5,0,1,1,0,1,0,0.0,0,1,0,0,0,5,16,5284.0,0,0.0,7,9,19.299444444444443,32.0,0.03125,7,1.0,1,21.0,1
High,platform,explicit_deployment_intent,database,main,deployment,0,1,0,0,1,1,1,0.0011111111111111111,2,18545,2073,20618,108,1.8658,7,5,1,1,1,0,1,1,0.0097,0,1,0,0,0,2,16,2811.0,0,0.0,7,9,109.6925,33.0,0.030303030303030304,6,1.0,1,30.0,0
Low,platform,explicit_deployment_intent,api_backend,main,deployment,17,1,0,0,0,1,1,0.0016666666666666668,2,131,3,134,3,0.9183,2,4,0,1,1,0,0,1,0.5,0,0,0,0,0,3,17,23429.0,0,0.0,8,10,17.5325,34.0,0.029411764705882353,1,0.0,1,21.0,1
Medium,platform,explicit_deployment_intent,identity_security,main,deployment,18,1,0,0,0,1,1,0.001388888888888889,2,92,88,180,60,1.2108,5,5,0,1,1,0,1,0,0.0,0,1,0,0,0,4,18,23563.0,0,0.0,9,11,0.87,35.0,0.02857142857142857,7,1.0,1,24.0,2
Medium,platform,mainline_delivery_proxy,infrastructure,main,other,22,2,0,0,1,0,1,0.0019444444444444444,2,1267,230,1497,12,1.8962,2,4,0,1,1,0,0,0,0.0,0,1,0,0,0,4,18,22580.0,0,0.0,9,10,27.763333333333332,36.0,0.027777777777777776,0,0.0,1,30.0,0
Medium,platform,explicit_deployment_intent,identity_security,main,deployment,16,3,0,0,0,1,1,0.0016666666666666668,2,209,469,678,113,1.7175,5,5,0,1,1,0,1,1,0.5067,0,1,0,0,0,4,19,22429.0,0,0.0,9,10,18.569444444444443,37.0,0.02702702702702703,7,1.0,1,21.0,1
Low,platform,mainline_delivery_proxy,shared_platform,main,verification,19,0,0,0,0,0,1,0.0011111111111111111,2,112,112,224,4,2.0,1,3,0,0,1,0,0,0,0.0,0,1,0,0,0,5,16,23107.0,0,0.0,7,9,98.49694444444444,38.0,0.02631578947368421,1,1.0,1,18.0,0
High,platform,explicit_deployment_intent,identity_security,main,deployment,14,3,0,0,0,1,1,0.0016666666666666668,2,445,178,623,53,1.0848,3,5,0,1,1,0,1,0,0.0,0,1,0,0,0,2,16,902.0,0,0.0,5,8,66.6613888888889,39.0,0.02564102564102564,7,1.0,1,18.0,0
Medium,platform,mainline_delivery_proxy,infrastructure,main,other,18,4,0,1,0,0,1,0.0016666666666666668,2,230,1267,1497,12,1.8962,2,4,0,1,1,0,0,0,0.0,0,1,0,1,0,2,16,847.0,0,0.0,6,9,28.23777777777778,40.0,0.025,1,1.0,1,18.0,0
Medium,platform,explicit_deployment_intent,identity_security,main,deployment,20,0,0,0,1,1,1,0.001388888888888889,2,249,479,728,19,0.5907,3,5,0,1,1,0,1,1,3.0,0,0,0,0,0,2,15,2120.0,0,0.0,7,8,74.52722222222222,41.0,0.024390243902439025,6,1.0,0,105.87,0
Medium,platform,explicit_deployment_intent,identity_security,main,deployment,18,1,0,0,0,1,1,0.001388888888888889,2,141,143,284,24,1.5204,3,5,0,1,1,0,1,0,0.0,0,1,0,0,0,3,16,2848.0,0,0.0,6,9,21.335555555555555,42.0,0.023809523809523808,7,1.0,1,21.0,1
High,platform,explicit_deployment_intent,identity_security,main,deployment,13,4,0,1,0,1,1,0.0016666666666666668,2,1194,743,1937,75,1.7802,6,5,0,1,1,0,1,0,0.0,0,1,0,0,0,3,16,2509.0,0,0.0,4,10,67.76361111111112,43.0,0.023255813953488372,8,1.0,1,18.0,0
Low,platform,explicit_deployment_intent,api_backend,main,deployment,15,1,0,0,0,1,1,0.001388888888888889,2,328,2,330,6,0.65,2,4,0,1,1,0,0,1,2.0,0,0,0,0,0,2,13,2221.0,0,0.0,5,9,97.76583333333333,44.0,0.022727272727272728,1,1.0,1,18.0,0
High,platform,explicit_deployment_intent,identity_security,main,deployment,3,3,0,0,1,1,1,0.0016666666666666668,2,149,104,253,62,1.3774,5,5,0,1,1,0,1,0,0.0,0,1,0,0,0,2,14,2267.0,0,0.0,6,9,36.18,45.0,0.022222222222222223,8,1.0,1,30.0,0
Medium,platform,mainline_delivery_proxy,api_backend,main,verification,4,3,0,0,1,0,1,0.001388888888888889,2,38,55,93,15,1.5589,2,4,0,1,1,0,0,1,0.0714,0,1,0,0,0,3,15,2520.0,0,0.0,7,10,0.7997222222222222,46.0,0.021739130434782608,2,1.0,1,33.0,1
High,platform,explicit_deployment_intent,identity_security,main,deployment,18,3,0,0,0,1,1,0.0016666666666666668,2,268,232,500,70,1.4579,5,5,0,1,1,0,1,0,0.0,0,1,0,0,0,4,16,2613.0,0,0.0,7,10,13.470277777777778,47.0,0.02127659574468085,9,1.0,1,24.0,2
High,platform,explicit_deployment_intent,database,main,deployment,5,4,0,1,1,1,1,0.001388888888888889,2,188,169,357,72,1.5542,6,5,1,1,1,0,1,1,0.125,0,0,0,0,0,5,17,3113.0,0,0.0,8,11,11.265,48.0,0.020833333333333332,1,1.0,0,111.46,1
Medium,platform,explicit_deployment_intent,identity_security,main,deployment,14,1,0,0,0,1,1,0.0016666666666666668,2,518,286,804,73,1.6355,6,5,0,1,1,0,1,1,0.0286,0,1,0,0,0,5,16,1533.0,0,0.0,7,11,105.38305555555556,49.0,0.02040816326530612,8,1.0,1,18.0,0
Medium,platform,mainline_delivery_proxy,api_backend,main,other,21,2,0,0,1,0,1,0.001388888888888889,2,1476,66,1542,18,0.9142,4,4,0,1,1,1,0,1,0.7,0,0,0,0,0,5,17,2007.0,0,0.0,7,11,30.670555555555556,50.0,0.02,3,1.0,0,108.24,0
Low,platform,mainline_delivery_proxy,infrastructure,main,verification,22,2,0,0,1,0,1,0.0016666666666666668,2,140,577,717,3,1.585,1,4,0,1,1,0,0,0,0.0,0,1,0,0,0,6,18,3549.0,0,0.0,8,11,1.1,51.0,0.0196078431372549,2,1.0,1,33.0,1
Medium,platform,mainline_delivery_proxy,database,main,other,0,3,0,0,1,0,1,0.0016666666666666668,2,16,10,26,9,2.9477,1,5,1,0,1,0,0,0,0.0,0,1,0,0,0,7,18,4266.0,0,0.0,8,10,2.0388888888888888,52.0,0.019230769230769232,1,1.0,1,36.0,2
Medium,platform,mainline_delivery_proxy,infrastructure,main,other,14,3,0,0,0,0,1,0.0016666666666666668,2,1328,236,1564,12,1.8962,2,4,0,1,1,0,0,0,0.0,0,1,0,0,0,6,19,3946.0,0,0.0,9,11,13.530555555555555,53.0,0.018867924528301886,3,0.6666666666666666,0,120.96,3
High,platform,explicit_deployment_intent,identity_security,main,deployment,11,4,0,1,0,1,1,0.0016666666666666668,2,3494,598,4092,159,1.9254,6,5,0,1,1,0,1,1,0.2605,0,1,0,0,0,5,18,4653.0,0,0.0,10,10,21.6975,54.0,0.018518518518518517,8,1.0,1,21.0,1
Medium,platform,mainline_delivery_proxy,infrastructure,main,other,15,0,0,0,0,0,1,0.0019444444444444444,2,10,7,17,4,1.5,2,4,0,1,1,0,0,1,0.3333,0,0,0,0,0,6,17,8745.0,0,0.0,10,9,75.33722222222222,55.0,0.01818181818181818,3,0.6666666666666666,0,111.23,0
Medium,platform,explicit_deployment_intent,identity_security,main,deployment,15,2,0,0,0,1,1,0.0019444444444444444,2,66,76,142,40,1.6542,5,5,0,1,1,0,1,0,0.0,0,1,0,0,0,6,18,7958.0,0,0.0,10,10,48.185,56.0,0.017857142857142856,8,1.0,1,18.0,0
High,platform,explicit_deployment_intent,identity_security,main,deployment,17,2,0,0,0,1,1,0.0016666666666666668,2,129,397,526,59,1.107,5,5,0,1,1,0,1,0,0.0,0,1,0,0,0,7,19,8100.0,0,0.0,11,11,2.444722222222222,57.0,0.017543859649122806,9,1.0,1,21.0,1
Low,platform,explicit_deployment_intent,infrastructure,main,deployment,1,3,0,0,1,1,1,0.001388888888888889,2,120,242,362,10,1.771,2,4,0,1,1,0,0,1,0.1111,0,1,0,0,0,5,19,6341.0,0,0.0,12,12,7.7825,58.0,0.017241379310344827,4,0.75,1,36.0,2
High,platform,explicit_deployment_intent,identity_security,main,deployment,20,3,0,0,1,1,1,0.0016666666666666668,2,1512,1797,3309,77,1.7529,5,5,0,1,1,1,1,0,0.0,0,1,0,0,0,5,20,5139.0,0,0.0,9,12,19.2325,59.0,0.01694915254237288,10,1.0,1,33.0,1
Medium,platform,explicit_deployment_intent,identity_security,main,deployment,19,0,0,0,0,1,1,0.001388888888888889,2,266,131,397,48,1.6334,4,5,0,1,1,0,1,0,0.0,0,1,0,0,0,0,5,0.0,0,0.0,0,4,598.6944444444445,60.0,0.016666666666666666,3,1.0,1,18.0,0
Medium,platform,explicit_deployment_intent,identity_security,main,deployment,21,0,0,0,1,1,1,0.0016666666666666668,2,525,264,789,60,2.1763,6,5,0,1,1,0,1,0,0.0,0,1,0,0,0,1,6,397.0,0,0.0,1,5,1.5072222222222222,61.0,0.01639344262295082,4,1.0,1,33.0,1
Medium,platform,mainline_delivery_proxy,infrastructure,main,other,1,3,0,0,1,0,1,0.001388888888888889,2,1598,870,2468,36,2.2663,3,4,0,1,1,0,0,1,0.0625,0,1,0,0,0,0,2,0.0,0,0.0,2,2,220.77027777777778,62.0,0.016129032258064516,0,0.0,1,30.0,0
Medium,platform,explicit_deployment_intent,identity_security,main,deployment,13,3,0,0,0,1,1,0.0019444444444444444,2,1095,696,1791,92,1.8767,4,5,0,1,1,0,1,0,0.0,0,1,0,0,0,1,3,2468.0,0,0.0,3,2,11.665833333333333,63.0,0.015873015873015872,2,1.0,1,21.0,1
High,platform,explicit_deployment_intent,database,main,deployment,14,3,0,0,0,1,1,0.15083333333333335,2,15462,59003,74465,266,1.5476,7,5,1,1,1,1,1,1,0.0039,0,1,0,0,0,2,4,4259.0,0,0.0,4,2,1.1508333333333334,64.0,0.015625,0,0.0,1,24.0,2
High,platform,explicit_deployment_intent,identity_security,main,deployment,7,4,0,1,0,1,1,0.0016666666666666668,2,612,640,1252,87,1.4978,5,5,0,1,1,0,1,0,0.0,0,1,0,0,0,3,5,78724.0,0,0.0,5,3,16.615555555555556,65.0,0.015384615384615385,3,1.0,1,24.0,2
High,platform,explicit_deployment_intent,identity_security,main,deployment,8,4,0,1,0,1,1,0.0016666666666666668,2,777,592,1369,69,1.7025,6,5,0,1,1,0,1,0,0.0,0,1,0,0,0,4,6,79976.0,0,0.0,5,3,0.9352777777777778,66.0,0.015151515151515152,4,0.75,1,27.0,3
High,platform,explicit_deployment_intent,identity_security,main,deployment,12,5,1,0,0,1,1,0.001388888888888889,2,461,270,731,66,1.6046,5,5,0,1,1,0,1,0,0.0,0,1,0,0,0,5,7,81345.0,0,0.0,6,4,28.66638888888889,67.0,0.014925373134328358,5,0.8,1,25.0,0
High,platform,explicit_deployment_intent,identity_security,main,deployment,0,6,1,0,1,1,1,0.0019444444444444444,2,13283,6310,19593,198,2.3039,6,5,0,1,1,0,1,0,0.0,0,1,0,0,0,6,8,82076.0,0,0.0,7,5,11.331944444444444,68.0,0.014705882352941176,6,0.8333333333333334,1,40.0,1
Medium,platform,explicit_deployment_intent,identity_security,main,deployment,16,0,0,0,0,1,1,0.0016666666666666668,2,73,64,137,25,1.1063,5,5,0,1,1,0,1,0,0.0,0,1,0,0,0,7,9,101669.0,0,0.0,8,6,40.59861111111111,69.0,0.014492753623188406,7,0.8571428571428571,1,18.0,0
High,platform,explicit_deployment_intent,identity_security,main,deployment,20,0,0,0,1,1,1,0.001388888888888889,2,70,78,148,28,1.2995,4,5,0,1,1,0,1,0,0.0,0,1,0,0,0,8,10,101806.0,0,0.0,8,7,3.701111111111111,70.0,0.014285714285714285,8,0.875,1,33.0,1
Medium,platform,mainline_delivery_proxy,database,main,other,12,2,0,0,0,0,1,0.0016666666666666668,2,16,10,26,9,2.9477,1,5,1,0,1,0,0,0,0.0,0,1,0,0,0,9,11,101954.0,0,0.0,8,8,40.37694444444445,71.0,0.014084507042253521,1,1.0,1,18.0,0
Medium,platform,mainline_delivery_proxy,database,main,other,16,3,0,0,0,0,1,0.0019444444444444444,2,10,16,26,9,2.9477,1,5,1,0,1,0,0,0,0.0,0,1,0,1,0,7,12,23256.0,0,0.0,9,9,27.83416666666667,72.0,0.013888888888888888,2,1.0,1,18.0,0
Medium,platform,explicit_deployment_intent,database,main,deployment,17,0,0,0,0,1,1,0.0016666666666666668,2,310,155,465,70,1.6501,6,5,1,1,1,0,1,0,0.0,0,1,0,0,0,3,13,200.0,0,0.0,10,10,96.62388888888889,73.0,0.0136986301369863,3,1.0,1,18.0,0
Medium,platform,explicit_deployment_intent,identity_security,main,deployment,19,0,0,0,0,1,1,0.001388888888888889,2,245,226,471,27,1.7144,3,5,0,1,1,0,1,0,0.0,0,1,0,0,0,4,14,665.0,0,0.0,11,11,1.8913888888888888,74.0,0.013513513513513514,9,0.8888888888888888,1,21.0,1
Medium,platform,explicit_deployment_intent,identity_security,main,deployment,21,1,0,0,1,1,1,0.0016666666666666668,2,389,1361,1750,66,1.5986,5,5,0,1,1,0,1,0,0.0,0,1,0,0,0,4,15,988.0,0,0.0,12,12,26.1025,75.0,0.013333333333333334,10,0.9,1,30.0,0
High,platform,explicit_deployment_intent,identity_security,main,deployment,9,2,0,0,0,1,1,0.001388888888888889,2,2598,2132,4730,96,2.124,5,5,0,1,1,1,1,0,0.0,0,1,0,0,0,5,16,2738.0,0,0.0,13,13,12.297222222222222,76.0,0.013157894736842105,11,0.9090909090909091,1,21.0,1
High,platform,explicit_deployment_intent,identity_security,main,deployment,17,2,0,0,0,1,1,0.001388888888888889,2,95,118,213,60,1.1054,5,5,0,1,1,0,1,0,0.0,0,1,0,0,0,5,17,7442.0,0,0.0,13,13,8.066944444444445,77.0,0.012987012987012988,12,0.8333333333333334,0,109.47,2
Medium,platform,explicit_deployment_intent,infrastructure,main,deployment,12,4,0,1,0,1,1,0.0019444444444444444,2,251,53,304,19,2.0632,2,4,0,1,1,0,0,0,0.0,0,1,0,0,0,5,18,7629.0,0,0.0,10,13,42.51555555555556,78.0,0.01282051282051282,1,1.0,1,18.0,0
High,platform,explicit_deployment_intent,database,main,deployment,18,5,1,0,0,1,1,0.001388888888888889,2,10873,5623,16496,127,1.6783,7,5,1,1,1,0,1,1,0.115,0,1,0,0,0,6,19,7933.0,0,0.0,10,13,30.49972222222222,79.0,0.012658227848101266,4,1.0,0,103.45,0
High,platform,explicit_deployment_intent,identity_security,main,deployment,20,5,1,0,1,1,1,0.0016666666666666668,2,5679,214,5893,138,0.1856,3,5,0,1,1,0,1,1,3.0,0,0,0,0,0,7,20,24429.0,0,0.0,11,14,1.3669444444444445,80.0,0.0125,13,0.8461538461538461,1,40.0,1
Low,platform,mainline_delivery_proxy,shared_platform,main,other,11,0,0,0,0,0,1,0.0016666666666666668,2,0,13,13,2,1.0,1,3,0,0,1,0,0,0,0.0,0,1,0,0,0,8,21,30322.0,0,0.0,11,15,39.67583333333334,81.0,0.012345679012345678,0,0.0,1,18.0,0
Medium,platform,explicit_deployment_intent,api_backend,main,deployment,23,0,0,0,1,1,1,0.001388888888888889,2,147,106,253,13,1.352,3,4,0,1,1,0,0,1,0.3,0,0,0,0,0,7,22,29399.0,0,0.0,10,15,11.938333333333333,82.0,0.012195121951219513,0,0.0,1,33.0,1
High,platform,explicit_deployment_intent,database,main,deployment,1,2,0,0,1,1,1,0.001388888888888889,2,2289,7434,9723,129,1.8333,6,5,1,1,1,0,1,0,0.0,0,1,0,1,0,7,23,27902.0,0,0.0,11,16,25.605555555555554,83.0,0.012048192771084338,5,1.0,1,30.0,0
High,platform,explicit_deployment_intent,database,main,deployment,16,2,0,0,0,1,1,0.004722222222222222,2,1142,1127,2269,300,0.8612,5,5,1,1,1,1,1,1,0.0453,0,1,0,0,0,7,24,32895.0,0,0.0,11,17,15.358611111111111,84.0,0.011904761904761904,6,1.0,1,21.0,1
Medium,platform,mainline_delivery_proxy,identity_security,main,other,20,1,0,0,1,0,1,0.0016666666666666668,2,1766,3535,5301,42,0.7554,3,5,0,1,1,1,1,1,0.05,0,1,0,0,0,2,23,11992.0,0,0.0,9,16,147.36277777777778,85.0,0.011764705882352941,12,0.8333333333333334,1,30.0,0
High,platform,explicit_deployment_intent,identity_security,main,deployment,22,1,0,0,1,1,1,0.001388888888888889,2,93,106,199,60,1.2821,5,5,0,1,1,0,1,0,0.0,0,1,0,0,0,3,24,17293.0,0,0.0,9,17,2.4019444444444447,86.0,0.011627906976744186,13,0.8461538461538461,0,122.98,1
Low,platform,mainline_delivery_proxy,observability,main,other,1,2,0,0,1,0,1,0.001388888888888889,2,143,23,166,15,1.0389,1,3,0,0,1,0,0,0,0.0,0,1,0,0,0,3,25,7769.0,0,0.0,10,18,3.165,87.0,0.011494252873563218,0,0.0,1,36.0,2
