deployment_id,deployment_timestamp,split,risk_level,repo_domain,candidate_type,primary_service,branch_type,workflow_kind,hour,day_of_week,is_weekend,is_friday,is_off_hours,is_deployment_intent,run_attempt,commit_age_hours,commit_parent_count,additions,deletions,code_churn,changed_files,file_extension_entropy,service_area_count,service_criticality,is_database_migration,is_infrastructure_change,is_dependency_change,is_config_change,is_security_change,is_test_change,test_to_source_file_ratio,is_docs_only,has_lockfile_change,is_hotfix,is_revert,is_breaking_change,deployments_7d,deployments_30d,recent_change_velocity_7d,past_failed_runs_7d,past_failure_rate_30d,past_incidents_14d,past_rollbacks_30d,time_since_last_deployment_hours,actor_prior_deployments,actor_prior_failure_rate,service_deployments_30d,service_incident_rate_30d,on_call_available,expected_on_call_response_minutes,on_call_load_24h
kubernetes/kubernetes:20376262432,2025-12-19 16:36:38+00:00,train,Medium,platform,mainline_delivery_proxy,shared_platform,main,verification,16,4,0,1,0,0,1,0.0016666666666666668,2,18,15,33,5,1.371,1,3,0,0,1,0,0,0,0.0,0,1,0,0,0,10,10,8145.0,1,0.1,7,2,0.9305555555555556,10.0,0.1,0,0.0,1,24.0,2
kubernetes/kubernetes:20376264545,2025-12-19 16:36:44+00:00,train,Medium,platform,explicit_deployment_intent,identity_security,main,deployment,16,4,0,1,0,1,1,0.001388888888888889,2,164,148,312,47,1.5347,6,5,0,1,1,0,1,1,0.0465,0,1,0,0,0,11,11,8178.0,1,0.09090909090909091,7,2,0.0016666666666666668,11.0,0.09090909090909091,5,0.6,1,27.0,3
kubernetes/kubernetes:20401739860,2025-12-20 23:48:52+00:00,train,High,platform,explicit_deployment_intent,database,main,deployment,23,5,1,0,1,1,1,0.0016666666666666668,2,22367,2784,25151,252,1.9337,7,5,1,1,1,1,1,0,0.0,0,1,0,0,0,12,12,8490.0,1,0.08333333333333333,8,3,31.202222222222222,12.0,0.08333333333333333,2,1.0,1,37.0,0
kubernetes/kubernetes:20410950749,2025-12-21 14:04:36+00:00,train,Low,platform,mainline_delivery_proxy,observability,main,other,14,6,1,0,0,0,1,0.001388888888888889,2,1797,3829,5626,118,0.9429,2,3,0,0,1,0,0,0,0.0,0,1,0,0,0,13,13,33641.0,1,0.07692307692307693,9,4,14.262222222222222,13.0,0.07692307692307693,0,0.0,1,28.0,1
kubernetes/kubernetes:20446861204,2025-12-22 23:34:37+00:00,train,High,platform,explicit_deployment_intent,identity_security,main,deployment,23,0,0,0,1,1,1,0.001388888888888889,2,31,32,63,24,1.7091,4,5,0,1,1,0,1,0,0.0,0,1,0,0,0,14,14,39267.0,1,0.07142857142857142,10,4,33.500277777777775,14.0,0.07142857142857142,6,0.6666666666666666,1,30.0,0
kubernetes/kubernetes:20447711814,2025-12-23 00:28:36+00:00,train,High,platform,explicit_deployment_intent,database,main,deployment,0,1,0,0,1,1,1,0.0011111111111111111,2,167,121,288,61,1.2789,6,5,1,1,1,0,1,0,0.0,0,1,0,0,0,15,15,39330.0,1,0.06666666666666667,11,5,0.8997222222222222,15.0,0.06666666666666667,3,1.0,1,33.0,1
kubernetes/kubernetes:20831103741,2026-01-08 20:41:58+00:00,train,Medium,platform,explicit_deployment_intent,identity_security,main,deployment,20,3,0,0,1,1,1,0.0011111111111111111,2,185,114,299,41,1.3944,6,5,0,1,1,0,1,0,0.0,0,1,0,0,0,0,16,0.0,0,0.0625,0,6,404.22277777777776,16.0,0.0625,7,0.7142857142857143,1,30.0,0
kubernetes/kubernetes:20935802639,2026-01-12 21:35:41+00:00,train,High,platform,explicit_deployment_intent,identity_security,main,deployment,21,0,0,0,1,1,1,0.0011111111111111111,2,2677,3024,5701,154,1.5926,5,5,0,1,1,0,1,0,0.0,0,1,0,0,0,1,17,299.0,0,0.058823529411764705,1,6,96.89527777777778,17.0,0.058823529411764705,8,0.75,0,108.14,0
kubernetes/kubernetes:20975338007,2026-01-13 22:45:39+00:00,train,Medium,platform,explicit_deployment_intent,identity_security,main,deployment,22,1,0,0,1,1,1,0.001388888888888889,2,610,412,1022,96,1.7836,6,5,0,1,1,0,1,0,0.0,0,1,0,0,0,2,18,6000.0,0,0.05555555555555555,2,7,25.16611111111111,18.0,0.05555555555555555,9,0.7777777777777778,1,30.0,0
kubernetes/kubernetes:21021046921,2026-01-15 05:39:51+00:00,train,Low,platform,mainline_delivery_proxy,shared_platform,main,verification,5,3,0,0,1,0,1,0.0016666666666666668,2,24,3,27,5,1.371,1,3,0,0,1,0,0,0,0.0,0,1,0,0,0,3,19,7022.0,0,0.05263157894736842,3,8,30.903333333333332,19.0,0.05263157894736842,1,0.0,0,95.12,0
kubernetes/kubernetes:21041864020,2026-01-15 18:23:44+00:00,train,Low,platform,mainline_delivery_proxy,api_backend,main,other,18,3,0,0,0,0,1,0.0016666666666666668,2,530,62,592,16,1.7988,2,4,0,0,1,0,0,0,0.0,0,1,0,0,0,4,20,7049.0,0,0.05,4,8,12.731388888888889,20.0,0.05,1,1.0,1,21.0,1
kubernetes/kubernetes:21063048894,2026-01-16 10:08:47+00:00,train,High,platform,explicit_deployment_intent,database,main,deployment,10,4,0,1,0,1,1,0.0016666666666666668,2,518,513,1031,119,2.074,7,5,1,1,1,0,1,0,0.0,0,1,0,0,0,4,21,7342.0,0,0.047619047619047616,4,8,15.750833333333333,21.0,0.047619047619047616,4,1.0,1,21.0,1
kubernetes/kubernetes:21143647648,2026-01-19 15:49:19+00:00,train,High,platform,mainline_delivery_proxy,database,main,other,15,0,0,0,0,0,1,0.0016666666666666668,2,62,7237,7299,79,1.692,7,5,1,1,1,0,1,1,0.1905,0,1,0,0,0,5,10,8373.0,0,0.0,5,6,77.67555555555556,22.0,0.045454545454545456,3,1.0,1,18.0,0
kubernetes/kubernetes:21180577254,2026-01-20 17:11:33+00:00,train,High,platform,explicit_deployment_intent,identity_security,main,deployment,17,1,0,0,0,1,1,0.0019444444444444444,2,2956,2221,5177,111,1.623,5,5,0,1,1,1,1,0,0.0,0,1,0,0,0,5,9,9971.0,0,0.0,6,6,25.370555555555555,23.0,0.043478260869565216,4,1.0,1,18.0,0
kubernetes/kubernetes:21225328054,2026-01-21 20:53:31+00:00,train,High,platform,explicit_deployment_intent,database,main,deployment,20,2,0,0,1,1,1,0.0016666666666666668,2,7412,21254,28666,207,1.9328,7,5,1,1,1,1,1,0,0.0,0,1,0,0,0,5,10,14126.0,0,0.0,7,6,27.699444444444445,24.0,0.041666666666666664,3,1.0,0,126.2,0
kubernetes/kubernetes:21264119944,2026-01-22 20:39:41+00:00,train,Medium,platform,explicit_deployment_intent,identity_security,main,deployment,20,3,0,0,1,1,1,0.0016666666666666668,2,162,154,316,26,1.6409,3,5,0,1,1,0,1,0,0.0,0,1,0,0,0,4,9,42173.0,0,0.0,8,5,23.769444444444446,25.0,0.04,4,1.0,1,33.0,1
kubernetes/kubernetes:21419293740,2026-01-28 00:07:53+00:00,train,High,platform,explicit_deployment_intent,database,main,deployment,0,2,0,0,1,1,1,0.001388888888888889,2,306,147,453,66,1.4775,6,5,1,1,1,0,1,1,0.0645,0,1,0,0,0,2,10,28982.0,0,0.0,6,6,123.47,26.0,0.038461538461538464,3,1.0,1,30.0,0
kubernetes/kubernetes:21477236890,2026-01-29 11:57:56+00:00,train,Medium,platform,mainline_delivery_proxy,database,main,other,11,3,0,0,0,0,1,0.001388888888888889,2,49,12,61,9,2.9477,1,5,1,0,1,0,0,0,0.0,0,1,0,0,0,2,11,769.0,0,0.0,6,6,35.83416666666667,27.0,0.037037037037037035,4,1.0,1,18.0,0
kubernetes/kubernetes:21489237257,2026-01-29 18:02:04+00:00,train,Low,platform,mainline_delivery_proxy,shared_platform,main,verification,18,3,0,0,0,0,1,0.0016666666666666668,2,3,3,6,2,1.0,1,3,0,0,1,0,0,0,0.0,0,1,0,0,0,3,12,830.0,0,0.0,7,6,6.068888888888889,28.0,0.03571428571428571,1,1.0,1,21.0,1
kubernetes/kubernetes:21495624528,2026-01-29 21:38:01+00:00,train,High,platform,explicit_deployment_intent,identity_security,main,deployment,21,3,0,0,1,1,1,0.001388888888888889,2,199,243,442,34,1.7014,4,5,0,1,1,0,1,0,0.0,0,1,0,0,0,3,13,520.0,0,0.0,8,6,3.5991666666666666,29.0,0.034482758620689655,5,1.0,0,104.33,2
kubernetes/kubernetes:21506950682,2026-01-30 06:39:47+00:00,train,High,platform,explicit_deployment_intent,database,main,deployment,6,4,0,1,1,1,1,0.001388888888888889,2,3584,28,3612,18,1.5158,3,5,1,1,1,0,0,1,0.0588,0,0,0,0,0,4,14,962.0,0,0.0,9,7,9.029444444444444,30.0,0.03333333333333333,5,1.0,1,39.0,3
kubernetes/kubernetes:21676958381,2026-02-04 15:14:38+00:00,train,Medium,platform,explicit_deployment_intent,identity_security,main,deployment,15,2,0,0,0,1,1,0.001388888888888889,2,829,334,1163,118,1.398,5,5,0,1,1,0,1,0,0.0,0,1,0,0,0,4,15,4121.0,0,0.0,7,8,128.58083333333335,31.0,0.03225806451612903,6,1.0,1,18.0,0
kubernetes/kubernetes:21708076329,2026-02-05 10:32:36+00:00,train,Medium,platform,explicit_deployment_intent,identity_security,main,deployment,10,3,0,0,0,1,1,0.0016666666666666668,2,1465,183,1648,75,1.8865,6,5,0,1,1,0,1,0,0.0,0,1,0,0,0,5,16,5284.0,0,0.0,7,9,19.299444444444443,32.0,0.03125,7,1.0,1,21.0,1
kubernetes/kubernetes:21846143215,2026-02-10 00:14:09+00:00,train,High,platform,explicit_deployment_intent,database,main,deployment,0,1,0,0,1,1,1,0.0011111111111111111,2,18545,2073,20618,108,1.8658,7,5,1,1,1,0,1,1,0.0097,0,1,0,0,0,2,16,2811.0,0,0.0,7,9,109.6925,33.0,0.030303030303030304,6,1.0,1,30.0,0
kubernetes/kubernetes:21876033060,2026-02-10 17:46:06+00:00,train,Low,platform,explicit_deployment_intent,api_backend,main,deployment,17,1,0,0,0,1,1,0.0016666666666666668,2,131,3,134,3,0.9183,2,4,0,1,1,0,0,1,0.5,0,0,0,0,0,3,17,23429.0,0,0.0,8,10,17.5325,34.0,0.029411764705882353,1,0.0,1,21.0,1
kubernetes/kubernetes:21877745757,2026-02-10 18:38:18+00:00,train,Medium,platform,explicit_deployment_intent,identity_security,main,deployment,18,1,0,0,0,1,1,0.001388888888888889,2,92,88,180,60,1.2108,5,5,0,1,1,0,1,0,0.0,0,1,0,0,0,4,18,23563.0,0,0.0,9,11,0.87,35.0,0.02857142857142857,7,1.0,1,24.0,2
kubernetes/kubernetes:21925436024,2026-02-11 22:24:06+00:00,train,Medium,platform,mainline_delivery_proxy,infrastructure,main,other,22,2,0,0,1,0,1,0.0019444444444444444,2,1267,230,1497,12,1.8962,2,4,0,1,1,0,0,0,0.0,0,1,0,0,0,4,18,22580.0,0,0.0,9,10,27.763333333333332,36.0,0.027777777777777776,0,0.0,1,30.0,0
kubernetes/kubernetes:21956171576,2026-02-12 16:58:16+00:00,train,Medium,platform,explicit_deployment_intent,identity_security,main,deployment,16,3,0,0,0,1,1,0.0016666666666666668,2,209,469,678,113,1.7175,5,5,0,1,1,0,1,1,0.5067,0,1,0,0,0,4,19,22429.0,0,0.0,9,10,18.569444444444443,37.0,0.02702702702702703,7,1.0,1,21.0,1
kubernetes/kubernetes:22075199259,2026-02-16 19:28:05+00:00,train,Low,platform,mainline_delivery_proxy,shared_platform,main,verification,19,0,0,0,0,0,1,0.0011111111111111111,2,112,112,224,4,2.0,1,3,0,0,1,0,0,0,0.0,0,1,0,0,0,5,16,23107.0,0,0.0,7,9,98.49694444444444,38.0,0.02631578947368421,1,1.0,1,18.0,0
kubernetes/kubernetes:22185103912,2026-02-19 14:07:46+00:00,train,High,platform,explicit_deployment_intent,identity_security,main,deployment,14,3,0,0,0,1,1,0.0016666666666666668,2,445,178,623,53,1.0848,3,5,0,1,1,0,1,0,0.0,0,1,0,0,0,2,16,902.0,0,0.0,5,8,66.6613888888889,39.0,0.02564102564102564,7,1.0,1,18.0,0
kubernetes/kubernetes:22235934862,2026-02-20 18:22:02+00:00,train,Medium,platform,mainline_delivery_proxy,infrastructure,main,other,18,4,0,1,0,0,1,0.0016666666666666668,2,230,1267,1497,12,1.8962,2,4,0,1,1,0,0,0,0.0,0,1,0,1,0,2,16,847.0,0,0.0,6,9,28.23777777777778,40.0,0.025,1,1.0,1,18.0,0
kubernetes/kubernetes:22324401918,2026-02-23 20:53:40+00:00,train,Medium,platform,explicit_deployment_intent,identity_security,main,deployment,20,0,0,0,1,1,1,0.001388888888888889,2,249,479,728,19,0.5907,3,5,0,1,1,0,1,1,3.0,0,0,0,0,0,2,15,2120.0,0,0.0,7,8,74.52722222222222,41.0,0.024390243902439025,6,1.0,0,105.87,0
kubernetes/kubernetes:22363991276,2026-02-24 18:13:48+00:00,train,Medium,platform,explicit_deployment_intent,identity_security,main,deployment,18,1,0,0,0,1,1,0.001388888888888889,2,141,143,284,24,1.5204,3,5,0,1,1,0,1,0,0.0,0,1,0,0,0,3,16,2848.0,0,0.0,6,9,21.335555555555555,42.0,0.023809523809523808,7,1.0,1,21.0,1
kubernetes/kubernetes:22489166062,2026-02-27 13:59:37+00:00,train,High,platform,explicit_deployment_intent,identity_security,main,deployment,13,4,0,1,0,1,1,0.0016666666666666668,2,1194,743,1937,75,1.7802,6,5,0,1,1,0,1,0,0.0,0,1,0,0,0,3,16,2509.0,0,0.0,4,10,67.76361111111112,43.0,0.023255813953488372,8,1.0,1,18.0,0
kubernetes/kubernetes:22630761863,2026-03-03 15:45:34+00:00,train,Low,platform,explicit_deployment_intent,api_backend,main,deployment,15,1,0,0,0,1,1,0.001388888888888889,2,328,2,330,6,0.65,2,4,0,1,1,0,0,1,2.0,0,0,0,0,0,2,13,2221.0,0,0.0,5,9,97.76583333333333,44.0,0.022727272727272728,1,1.0,1,18.0,0
kubernetes/kubernetes:22701524720,2026-03-05 03:56:22+00:00,train,High,platform,explicit_deployment_intent,identity_security,main,deployment,3,3,0,0,1,1,1,0.0016666666666666668,2,149,104,253,62,1.3774,5,5,0,1,1,0,1,0,0.0,0,1,0,0,0,2,14,2267.0,0,0.0,6,9,36.18,45.0,0.022222222222222223,8,1.0,1,30.0,0
kubernetes/kubernetes:22702713680,2026-03-05 04:44:21+00:00,train,Medium,platform,mainline_delivery_proxy,api_backend,main,verification,4,3,0,0,1,0,1,0.001388888888888889,2,38,55,93,15,1.5589,2,4,0,1,1,0,0,1,0.0714,0,1,0,0,0,3,15,2520.0,0,0.0,7,10,0.7997222222222222,46.0,0.021739130434782608,2,1.0,1,33.0,1
kubernetes/kubernetes:22730134121,2026-03-05 18:12:34+00:00,train,High,platform,explicit_deployment_intent,identity_security,main,deployment,18,3,0,0,0,1,1,0.0016666666666666668,2,268,232,500,70,1.4579,5,5,0,1,1,0,1,0,0.0,0,1,0,0,0,4,16,2613.0,0,0.0,7,10,13.470277777777778,47.0,0.02127659574468085,9,1.0,1,24.0,2
kubernetes/kubernetes:22750489427,2026-03-06 05:28:28+00:00,train,High,platform,explicit_deployment_intent,database,main,deployment,5,4,0,1,1,1,1,0.001388888888888889,2,188,169,357,72,1.5542,6,5,1,1,1,0,1,1,0.125,0,0,0,0,0,5,17,3113.0,0,0.0,8,11,11.265,48.0,0.020833333333333332,1,1.0,0,111.46,1
kubernetes/kubernetes:22908553262,2026-03-10 14:51:27+00:00,train,Medium,platform,explicit_deployment_intent,identity_security,main,deployment,14,1,0,0,0,1,1,0.0016666666666666668,2,518,286,804,73,1.6355,6,5,0,1,1,0,1,1,0.0286,0,1,0,0,0,5,16,1533.0,0,0.0,7,11,105.38305555555556,49.0,0.02040816326530612,8,1.0,1,18.0,0
kubernetes/kubernetes:22975477414,2026-03-11 21:31:41+00:00,train,Medium,platform,mainline_delivery_proxy,api_backend,main,other,21,2,0,0,1,0,1,0.001388888888888889,2,1476,66,1542,18,0.9142,4,4,0,1,1,1,0,1,0.7,0,0,0,0,0,5,17,2007.0,0,0.0,7,11,30.670555555555556,50.0,0.02,3,1.0,0,108.24,0
kubernetes/kubernetes:22977768691,2026-03-11 22:37:41+00:00,train,Low,platform,mainline_delivery_proxy,infrastructure,main,verification,22,2,0,0,1,0,1,0.0016666666666666668,2,140,577,717,3,1.585,1,4,0,1,1,0,0,0,0.0,0,1,0,0,0,6,18,3549.0,0,0.0,8,11,1.1,51.0,0.0196078431372549,2,1.0,1,33.0,1
kubernetes/kubernetes:22981315422,2026-03-12 00:40:01+00:00,train,Medium,platform,mainline_delivery_proxy,database,main,other,0,3,0,0,1,0,1,0.0016666666666666668,2,16,10,26,9,2.9477,1,5,1,0,1,0,0,0,0.0,0,1,0,0,0,7,18,4266.0,0,0.0,8,10,2.0388888888888888,52.0,0.019230769230769232,1,1.0,1,36.0,2
kubernetes/kubernetes:23006231063,2026-03-12 14:11:51+00:00,train,Medium,platform,mainline_delivery_proxy,infrastructure,main,other,14,3,0,0,0,0,1,0.0016666666666666668,2,1328,236,1564,12,1.8962,2,4,0,1,1,0,0,0,0.0,0,1,0,0,0,6,19,3946.0,0,0.0,9,11,13.530555555555555,53.0,0.018867924528301886,3,0.6666666666666666,0,120.96,3
kubernetes/kubernetes:23049629036,2026-03-13 11:53:42+00:00,train,High,platform,explicit_deployment_intent,identity_security,main,deployment,11,4,0,1,0,1,1,0.0016666666666666668,2,3494,598,4092,159,1.9254,6,5,0,1,1,0,1,1,0.2605,0,1,0,0,0,5,18,4653.0,0,0.0,10,10,21.6975,54.0,0.018518518518518517,8,1.0,1,21.0,1
kubernetes/kubernetes:23150923808,2026-03-16 15:13:56+00:00,train,Medium,platform,mainline_delivery_proxy,infrastructure,main,other,15,0,0,0,0,0,1,0.0019444444444444444,2,10,7,17,4,1.5,2,4,0,1,1,0,0,1,0.3333,0,0,0,0,0,6,17,8745.0,0,0.0,10,9,75.33722222222222,55.0,0.01818181818181818,3,0.6666666666666666,0,111.23,0
kubernetes/kubernetes:23252478820,2026-03-18 15:25:02+00:00,train,Medium,platform,explicit_deployment_intent,identity_security,main,deployment,15,2,0,0,0,1,1,0.0019444444444444444,2,66,76,142,40,1.6542,5,5,0,1,1,0,1,0,0.0,0,1,0,0,0,6,18,7958.0,0,0.0,10,10,48.185,56.0,0.017857142857142856,8,1.0,1,18.0,0
kubernetes/kubernetes:23259107425,2026-03-18 17:51:43+00:00,train,High,platform,explicit_deployment_intent,identity_security,main,deployment,17,2,0,0,0,1,1,0.0016666666666666668,2,129,397,526,59,1.107,5,5,0,1,1,0,1,0,0.0,0,1,0,0,0,7,19,8100.0,0,0.0,11,11,2.444722222222222,57.0,0.017543859649122806,9,1.0,1,21.0,1
kubernetes/kubernetes:23275633000,2026-03-19 01:38:40+00:00,train,Low,platform,explicit_deployment_intent,infrastructure,main,deployment,1,3,0,0,1,1,1,0.001388888888888889,2,120,242,362,10,1.771,2,4,0,1,1,0,0,1,0.1111,0,1,0,0,0,5,19,6341.0,0,0.0,12,12,7.7825,58.0,0.017241379310344827,4,0.75,1,36.0,2
kubernetes/kubernetes:23316397957,2026-03-19 20:52:37+00:00,train,High,platform,explicit_deployment_intent,identity_security,main,deployment,20,3,0,0,1,1,1,0.0016666666666666668,2,1512,1797,3309,77,1.7529,5,5,0,1,1,1,1,0,0.0,0,1,0,0,0,5,20,5139.0,0,0.0,9,12,19.2325,59.0,0.01694915254237288,10,1.0,1,33.0,1
kubernetes/kubernetes:24362875589,2026-04-13 19:34:17+00:00,train,Medium,platform,explicit_deployment_intent,identity_security,main,deployment,19,0,0,0,0,1,1,0.001388888888888889,2,266,131,397,48,1.6334,4,5,0,1,1,0,1,0,0.0,0,1,0,0,0,0,5,0.0,0,0.0,0,4,598.6944444444445,60.0,0.016666666666666666,3,1.0,1,18.0,0
kubernetes/kubernetes:24366816123,2026-04-13 21:04:43+00:00,train,Medium,platform,explicit_deployment_intent,identity_security,main,deployment,21,0,0,0,1,1,1,0.0016666666666666668,2,525,264,789,60,2.1763,6,5,0,1,1,0,1,0,0.0,0,1,0,0,0,1,6,397.0,0,0.0,1,5,1.5072222222222222,61.0,0.01639344262295082,4,1.0,1,33.0,1
kubernetes/kubernetes:24812308811,2026-04-23 01:50:56+00:00,train,Medium,platform,mainline_delivery_proxy,infrastructure,main,other,1,3,0,0,1,0,1,0.001388888888888889,2,1598,870,2468,36,2.2663,3,4,0,1,1,0,0,1,0.0625,0,1,0,0,0,0,2,0.0,0,0.0,2,2,220.77027777777778,62.0,0.016129032258064516,0,0.0,1,30.0,0
kubernetes/kubernetes:24838105144,2026-04-23 13:30:53+00:00,train,Medium,platform,explicit_deployment_intent,identity_security,main,deployment,13,3,0,0,0,1,1,0.0019444444444444444,2,1095,696,1791,92,1.8767,4,5,0,1,1,0,1,0,0.0,0,1,0,0,0,1,3,2468.0,0,0.0,3,2,11.665833333333333,63.0,0.015873015873015872,2,1.0,1,21.0,1
kubernetes/kubernetes:24841193829,2026-04-23 14:39:56+00:00,train,High,platform,explicit_deployment_intent,database,main,deployment,14,3,0,0,0,1,1,0.15083333333333335,2,15462,59003,74465,266,1.5476,7,5,1,1,1,1,1,1,0.0039,0,1,0,0,0,2,4,4259.0,0,0.0,4,2,1.1508333333333334,64.0,0.015625,0,0.0,1,24.0,2
kubernetes/kubernetes:24877363468,2026-04-24 07:16:52+00:00,train,High,platform,explicit_deployment_intent,identity_security,main,deployment,7,4,0,1,0,1,1,0.0016666666666666668,2,612,640,1252,87,1.4978,5,5,0,1,1,0,1,0,0.0,0,1,0,0,0,3,5,78724.0,0,0.0,5,3,16.615555555555556,65.0,0.015384615384615385,3,1.0,1,24.0,2
kubernetes/kubernetes:24879421562,2026-04-24 08:12:59+00:00,train,High,platform,explicit_deployment_intent,identity_security,main,deployment,8,4,0,1,0,1,1,0.0016666666666666668,2,777,592,1369,69,1.7025,6,5,0,1,1,0,1,0,0.0,0,1,0,0,0,4,6,79976.0,0,0.0,5,3,0.9352777777777778,66.0,0.015151515151515152,4,0.75,1,27.0,3
kubernetes/kubernetes:24931347740,2026-04-25 12:52:58+00:00,train,High,platform,explicit_deployment_intent,identity_security,main,deployment,12,5,1,0,0,1,1,0.001388888888888889,2,461,270,731,66,1.6046,5,5,0,1,1,0,1,0,0.0,0,1,0,0,0,5,7,81345.0,0,0.0,6,4,28.66638888888889,67.0,0.014925373134328358,5,0.8,1,25.0,0
kubernetes/kubernetes:24943987658,2026-04-26 00:12:53+00:00,train,High,platform,explicit_deployment_intent,identity_security,main,deployment,0,6,1,0,1,1,1,0.0019444444444444444,2,13283,6310,19593,198,2.3039,6,5,0,1,1,0,1,0,0.0,0,1,0,0,0,6,8,82076.0,0,0.0,7,5,11.331944444444444,68.0,0.014705882352941176,6,0.8333333333333334,1,40.0,1
kubernetes/kubernetes:25007990741,2026-04-27 16:48:48+00:00,train,Medium,platform,explicit_deployment_intent,identity_security,main,deployment,16,0,0,0,0,1,1,0.0016666666666666668,2,73,64,137,25,1.1063,5,5,0,1,1,0,1,0,0.0,0,1,0,0,0,7,9,101669.0,0,0.0,8,6,40.59861111111111,69.0,0.014492753623188406,7,0.8571428571428571,1,18.0,0
