repo_key,owner,repository,language,deployment_label,deployment_ready,stars,forks,watchers,total_commits,total_issues,total_prs,total_files,size,open_issues,repository_age_days,last_update_days,has_license,has_description,bug_fix_ratio,feature_commit_ratio,refactor_commit_ratio,documentation_commit_ratio,average_commit_length,average_commit_words,author_diversity,commit_frequency,days_since_last_commit,closed_issue_ratio,bug_issue_ratio,average_issue_comments,stale_issue_ratio,merged_pr_ratio,source_code_ratio,documentation_ratio,config_ratio,test_ratio,binary_ratio,has_ci_cd,has_dockerfile,has_contributing_guide,dependency_file_count,max_directory_depth,weekend_commit_ratio,night_commit_ratio,average_issue_resolution_days,average_merge_days,language_diversity,average_directory_depth,average_file_size
openai_codex,openai,codex,Rust,Production Ready,1,97891,14585,97891,30,20,20,100,516676,9336,457,0,1,1,0.3333,0.7333,0.0333,0.0333,647.8667,83.8333,22,0.0656,0,0.05,0.95,1.1,0.0,1.0,0.11,0.01,0.03,0.09,0.01,1,1,0,1,4,0.0,0.6,0.0,0.0,2,2.27,12380.53
microsoft_Web-Dev-For-Beginners,microsoft,Web-Dev-For-Beginners,JavaScript,Not Ready,0,96023,15662,96023,30,20,20,100,2204633,87,2072,0,1,1,0.1333,0.0333,0.0667,0.0333,137.2667,13.9333,4,0.0145,80,0.45,0.75,2.6,0.0909,0.0,0.05,0.19,0.02,0.0,0.22,1,0,0,0,3,0.0,0.0333,10.7778,0.0,4,2.37,55213.44
yyyar_gobetween,yyyar,gobetween,Go,Not Ready,0,1988,220,1988,30,20,20,100,545,102,3689,0,1,1,0.2667,0.1667,0.0333,0.1667,43.1,6.4,9,0.0081,442,0.15,0.35,1.3,1.0,0.1,0.65,0.04,0.05,0.0,0.02,1,1,1,2,4,0.2,0.0667,53.6667,0.0,2,1.83,3495.33
oven-sh_bun,oven-sh,bun,Rust,Production Ready,1,94681,4964,94681,30,20,20,100,639072,7375,1917,0,1,1,0.9667,0.7667,0.0667,0.2,4686.9667,567.3333,2,0.0156,0,0.4,0.9,2.05,0.0,0.2,0.02,0.03,0.06,0.05,0.0,1,1,1,1,3,0.1667,0.7,0.0,0.0,2,1.5,5102.77
Tencent_sluaunreal,Tencent,sluaunreal,C++,Needs Improvements,1,1969,450,1969,30,20,20,100,37734,106,2905,2,1,1,0.4333,0.2667,0.0333,0.0,60.9,7.8333,4,0.0103,267,0.35,0.35,1.05,1.0,0.9,0.2,0.0,0.03,0.29,0.02,0,0,0,0,5,0.1333,0.2333,37.4286,9.2222,2,2.47,54749.35
ruvnet_RuView,ruvnet,RuView,Rust,Needs Improvements,1,80564,10845,80564,30,20,20,100,179271,377,402,0,1,1,0.4,0.2333,0.0667,0.2,766.0667,95.4333,2,0.0746,11,0.75,0.3,0.8,0.0,0.0,0.0,0.01,0.01,0.08,0.0,0,0,0,0,4,0.1,0.1333,0.3333,0.0,0,2.85,9949.7
skeeto_pdjson,skeeto,pdjson,C,Needs Improvements,1,300,37,300,30,14,20,9,64,10,4314,118,1,1,0.3,0.3,0.0,0.0333,95.1,13.9667,7,0.007,879,0.6429,0.6429,2.3571,1.0,0.7,0.1111,0.1111,0.2222,0.3333,0.0,0,0,0,0,1,0.2,0.4,11.3333,3.3571,1,0.3333,5486.6667
bannedbook_fanqiang,bannedbook,fanqiang,Kotlin,Not Ready,0,48935,8184,48935,30,20,14,100,751987,328,4199,0,0,1,0.0,0.0,0.0,0.0,6.0,1.0,1,0.0071,14,0.65,0.05,1.55,0.1429,0.2143,0.02,0.05,0.02,0.0,0.54,0,0,0,0,3,0.2667,0.3333,7.1538,1.3333,2,2.2,33702.36
DietrichGebert_ponytail,DietrichGebert,ponytail,JavaScript,Production Ready,1,82637,4488,82637,30,20,20,100,2007,67,32,0,1,1,0.7,0.4,0.0,0.1333,521.4667,72.3,25,0.9375,4,0.55,0.9,0.4,0.0,0.25,0.15,0.07,0.01,0.03,0.11,1,0,0,0,3,0.0,0.5333,1.1818,0.0,2,1.39,14459.49
erikgeiser_promptkit,erikgeiser,promptkit,Go,Needs Improvements,1,300,21,300,30,16,16,100,2612,0,2059,23,1,1,0.2667,0.2333,0.1333,0.0667,34.4333,4.8667,4,0.0146,86,1.0,0.5,3.25,0.0,0.8125,0.27,0.02,0.01,0.41,0.12,1,0,0,1,2,0.5,0.0333,375.0,10.6154,2,1.45,12657.96
tmux_tmux,tmux,tmux,C,Production Ready,1,47697,2774,47697,30,20,20,100,21946,28,4058,0,1,1,0.2667,0.6,0.0,0.0333,149.7667,20.9,6,0.0074,0,0.7,0.75,3.4,0.0,0.1,0.75,0.03,0.01,0.0,0.0,1,0,1,0,2,0.0,0.1333,0.3571,0.0,2,0.23,7735.29
gocardless_statesman,gocardless,statesman,Ruby,Production Ready,1,1903,158,1903,30,20,20,62,1034,16,4694,3,1,1,0.3667,0.6333,0.0333,0.3333,1560.9667,122.6667,11,0.0064,89,0.6,0.6,1.85,1.0,0.75,0.2903,0.0645,0.0323,0.4032,0.0,1,1,1,1,4,0.0,0.0,327.0,75.0667,1,1.871,3367.7258
git_git,git,git,C,Not Ready,0,62016,28128,62016,30,0,20,100,313065,374,6564,0,1,1,0.5,0.4,0.3667,0.2,445.7,51.9667,2,0.0046,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.0,0.0,1,0,1,1,2,0.0,0.7667,0.0,0.0,0,1.63,4504.76
broadinstitute_gatk,broadinstitute,gatk,Java,Needs Improvements,1,1975,627,1975,30,20,20,100,490356,1439,4241,1,1,1,0.3333,0.3667,0.1,0.0667,159.1667,22.0667,15,0.0071,38,0.0,0.6,0.4,0.75,0.5,0.01,0.51,0.05,0.19,0.29,1,1,0,1,4,0.0667,0.0333,0.0,4.6,3,2.04,196097.21
laravel_framework,laravel,framework,PHP,Production Ready,1,34796,11905,34796,30,20,20,100,102316,117,4932,0,1,1,0.2,0.3667,0.0333,0.2,185.1333,23.7667,17,0.0061,0,0.8,0.6,1.1,0.0,0.1,0.57,0.04,0.05,0.02,0.0,1,1,1,1,8,0.1,0.1,1.125,0.0,2,2.23,77047.81
scraly_developers-conferences-agenda,scraly,developers-conferences-agenda,JavaScript,Production Ready,1,1986,507,1986,30,20,20,100,631415,10,3348,0,1,1,0.1,0.3333,0.0,0.0667,140.2,11.5667,8,0.009,0,1.0,0.0,0.2,0.0,0.95,0.07,0.03,0.05,0.05,0.02,1,0,1,2,4,0.2333,0.0,0.5,0.4737,4,2.36,21546.81
fulldecent_FDSoundActivatedRecorder,fulldecent,FDSoundActivatedRecorder,Swift,Needs Improvements,1,298,66,298,30,20,9,21,642,0,4586,8,1,1,0.1333,0.0667,0.0,0.1,33.0,4.0667,6,0.0065,69,1.0,0.25,1.85,0.0,1.0,0.2381,0.1905,0.0476,0.1905,0.0,1,0,1,0,4,0.1,0.6333,294.6,20.0,1,1.7619,2904.7619
rust-lang_rustlings,rust-lang,rustlings,Rust,Production Ready,1,63522,11223,63522,30,20,20,100,4381,40,3955,0,1,1,0.2667,0.1,0.0667,0.0667,107.4333,14.2667,7,0.0076,6,0.85,0.4,1.9,0.3333,0.3,0.65,0.22,0.04,0.02,0.0,1,0,1,2,2,0.2333,0.1,22.4118,2.0,1,1.73,1651.36
2dust_v2rayNG,2dust,v2rayNG,Kotlin,Production Ready,1,59521,7753,59521,30,20,20,100,268235,17,2617,0,1,1,0.2333,0.2667,0.1,0.0667,311.0,40.2667,13,0.0115,3,0.85,0.4,1.75,0.0,0.3,0.72,0.02,0.01,0.02,0.01,1,0,0,0,10,0.6,0.2333,1.1765,0.6667,2,7.57,4897.05
composer_composer,composer,composer,PHP,Production Ready,1,29479,4813,29479,30,20,20,100,30100,141,5515,0,1,1,0.4667,0.4667,0.0,0.0333,286.3333,30.2667,7,0.0054,4,0.6,0.65,3.35,0.0,0.95,0.22,0.05,0.03,0.0,0.0,1,0,1,1,5,0.0,0.0,1.1667,1.1053,1,1.87,12293.93
MortyFx_speedtest-x,MortyFx,speedtest-x,PHP,Production Ready,1,1943,426,1943,30,20,20,38,160,10,2068,1,1,1,0.0333,0.1,0.0,0.6333,25.1,3.2667,3,0.0145,478,0.5,0.15,2.3,1.0,0.85,0.7105,0.0526,0.0263,0.0526,0.0263,1,0,0,0,3,0.2667,0.2667,118.6,0.5294,3,1.6842,9139.9211
Faugus_faugus-launcher,Faugus,faugus-launcher,Python,Needs Improvements,1,1994,75,1994,30,20,20,100,36239,9,770,0,1,1,0.3333,0.1,0.2333,0.0,61.5333,8.2667,4,0.039,3,0.95,0.5,2.4,0.0,0.7,0.16,0.03,0.0,0.0,0.11,0,0,0,0,2,0.4667,0.1333,0.1053,1.0,1,1.54,9757.94
pgmoneta_pgmoneta,pgmoneta,pgmoneta,C,Needs Improvements,1,299,101,299,30,20,20,100,8524,68,1882,2,1,1,0.2,0.2333,0.0333,0.1667,126.9333,17.5667,14,0.0159,2,0.55,0.5,1.8,0.0,0.55,0.01,0.07,0.05,0.03,0.22,1,1,1,0,4,0.4333,0.1,3.1818,0.9091,2,1.47,25201.86
boylegu_SpringBoot-vue,boylegu,SpringBoot-vue,Java,Not Ready,0,1987,858,1987,30,20,20,68,33858,29,3311,0,0,1,0.5333,0.3333,0.0,0.3333,126.9,11.7,9,0.0091,809,0.35,0.25,1.25,1.0,0.1,0.3971,0.0147,0.0882,0.0588,0.1176,0,1,0,2,8,0.2667,0.5667,427.8571,487.0,4,2.5147,497066.6029
premailer_css_parser,premailer,css_parser,Ruby,Production Ready,1,299,114,299,30,20,20,40,719,24,6061,3,1,1,0.3333,0.1,0.0333,0.0,245.3,29.9,6,0.0049,3,0.65,0.35,2.95,1.0,0.8,0.125,0.05,0.05,0.55,0.0,1,0,0,1,3,0.1667,0.3667,58.5385,1.9375,2,1.125,4973.95
kevinhermawan_Ollamac,kevinhermawan,Ollamac,Swift,Needs Improvements,1,1908,100,1908,30,20,20,66,9719,46,982,0,1,1,0.3333,0.3333,0.1667,0.0,121.6333,17.8333,5,0.0305,495,0.25,0.25,0.95,1.0,0.65,0.5455,0.0303,0.0152,0.0,0.2121,0,0,0,0,4,0.0333,0.4,94.0,4.0769,1,2.6212,133078.4091
vapor_vapor,vapor,vapor,Swift,Production Ready,1,26163,1516,26163,30,20,20,100,18364,112,3829,0,1,1,0.1667,0.4333,0.0333,0.1667,570.4667,82.3333,9,0.0078,0,0.35,0.55,1.55,1.0,0.5,0.8,0.02,0.01,0.01,0.01,1,0,1,0,4,0.0333,0.0,27.5714,3.8,2,2.81,4390.56
remote-jp_remote-in-japan,remote-jp,remote-in-japan,Ruby,Production Ready,1,1979,316,1979,30,17,20,100,14480,7,3966,0,0,1,0.1667,0.1667,0.0,0.4667,63.8667,7.9,7,0.0076,3,0.5882,0.0588,2.5882,1.0,0.85,0.0,0.95,0.02,0.01,0.13,1,0,0,1,4,0.1667,0.4333,282.4,0.7647,3,2.59,26726.88
jtdowney_tsbridge,jtdowney,tsbridge,Go,Production Ready,1,300,11,300,30,20,20,100,1790,17,387,12,1,1,0.7333,0.7333,0.1667,0.7333,2775.6333,228.8667,2,0.0775,36,0.55,0.45,2.9,0.8889,0.95,0.27,0.11,0.08,0.24,0.01,1,1,0,1,2,0.2333,0.8333,4.7273,1.5263,1,1.57,16096.58
UriahShaulMandel_BaldPhone,UriahShaulMandel,BaldPhone,Java,Not Ready,0,300,72,300,30,20,20,100,170811,184,2740,13,1,1,0.1333,0.0667,0.0,0.0667,46.4,5.4667,6,0.0109,1373,0.0,0.4,0.3,1.0,0.0,0.58,0.05,0.03,0.17,0.0,1,0,1,1,10,0.2333,0.0,0.0,0.0,1,7.23,39101.51
ClosureTree_closure_tree,ClosureTree,closure_tree,Ruby,Production Ready,1,1932,247,1932,30,20,20,100,1407,76,5536,8,1,1,0.3667,0.2333,0.0667,0.0667,159.9333,18.7667,8,0.0054,68,0.55,0.4,1.55,1.0,0.85,0.22,0.02,0.02,0.59,0.02,1,1,0,1,5,0.2667,0.2,418.3636,8.5882,1,2.36,2959.6
lapce_lapdev,lapce,lapdev,Rust,Production Ready,1,1956,56,1956,30,16,5,100,2650,17,842,0,1,1,0.1333,0.2333,0.0333,0.0333,134.0333,24.0667,2,0.0356,231,0.0,0.1875,1.9375,0.9375,0.6,0.76,0.03,0.11,0.0,0.0,1,1,0,7,5,0.1667,0.3,0.0,0.0,4,2.98,13399.06
Cookie-AutoDelete_Cookie-AutoDelete,Cookie-AutoDelete,Cookie-AutoDelete,TypeScript,Not Ready,0,1995,135,1995,30,20,20,100,7240,172,3469,0,1,1,0.3333,0.3667,0.0,0.0333,283.1667,25.7333,4,0.0086,468,0.25,0.55,2.4,0.8,0.0,0.14,0.03,0.04,0.11,0.09,1,0,0,1,3,0.2,0.4667,28.0,0.0,5,2.02,26227.34
microsoft_PowerApps-Samples,microsoft,PowerApps-Samples,C#,Needs Improvements,1,1958,1816,1958,30,20,20,100,505372,39,3031,1,1,1,0.1,0.5667,0.0333,0.1667,357.3667,28.6,4,0.0099,7,0.6,0.45,0.7,0.75,0.2,0.1,0.12,0.12,0.0,0.17,0,0,0,5,4,0.0,0.6,49.8333,5.25,3,2.13,1685447.15
LaraBug_LaraBug,LaraBug,LaraBug,PHP,Production Ready,1,298,63,298,30,20,20,43,289,2,3539,1,1,1,0.6333,0.5333,0.0,0.1333,118.2,16.1,1,0.0085,93,0.9,0.65,1.5,1.0,0.7,0.5581,0.093,0.0698,0.2093,0.0233,1,0,1,1,3,0.1667,0.0,394.2778,2.6429,1,1.3953,2633.6047
dotnet_maui,dotnet,maui,C#,Needs Improvements,1,23283,1960,23283,30,20,20,100,1431076,3951,2257,0,1,1,0.9,0.8333,0.2667,0.3333,4987.0,607.8,8,0.0133,3,0.15,0.95,0.45,0.0,0.1,0.0,0.06,0.02,0.22,0.0,0,0,1,0,3,0.1333,0.1,0.0,0.0,0,1.96,13741.51
shadowsocks_shadowsocks-android,shadowsocks,shadowsocks-android,Kotlin,Not Ready,0,36731,11471,36731,30,20,20,100,53845,75,4957,0,1,1,0.2667,0.0667,0.0,0.0,43.4,5.8667,4,0.0061,154,0.1,0.7,1.4,0.4444,0.15,0.54,0.03,0.02,0.06,0.01,1,0,1,0,9,0.1,0.4,0.0,0.3333,2,5.53,10847.9
juliand665_Dynamic-FPS,juliand665,Dynamic-FPS,Java,Production Ready,1,300,46,300,30,20,20,100,2138,4,2525,9,1,1,0.3333,0.0667,0.0333,0.0,100.4333,12.3,3,0.0119,27,0.9,0.4,2.7,0.0,0.95,0.51,0.03,0.04,0.0,0.03,1,0,0,0,9,0.0,0.0333,1.0556,2.0,1,6.3,6839.86
cortinico_kotlin-android-template,cortinico,kotlin-android-template,Kotlin,Not Ready,0,1901,256,1901,30,16,20,70,892,12,2298,14,1,1,0.0,0.0,0.0,0.0,139.0333,8.9,1,0.0131,40,0.75,0.3125,2.75,1.0,0.75,0.0714,0.0429,0.0429,0.0571,0.1857,1,0,0,0,11,0.0667,0.1,70.4167,14.4,1,3.3429,3706.4286
donnemartin_system-design-primer,donnemartin,system-design-primer,Python,Production Ready,1,357516,57204,357516,30,20,20,100,11277,571,3424,0,1,1,0.8,0.1,0.0,0.0,51.6667,8.2333,30,0.0088,116,0.2,0.1,0.6,0.0,0.0,0.2,0.06,0.02,0.0,0.43,0,0,1,0,3,0.5,0.4333,0.0,0.0,3,1.86,107054.36
UZDoom_UZDoom,UZDoom,UZDoom,C++,Not Ready,0,1980,164,1980,30,20,20,100,232637,534,272,0,1,1,0.2667,0.2333,0.0,0.0,357.3333,41.2333,6,0.1103,0,0.3,0.75,1.45,0.0,0.45,0.04,0.03,0.05,0.0,0.14,1,0,1,0,6,0.1667,0.6333,0.6667,0.0,1,3.4,244423.78
influxdb-rs_influxdb-rust,influxdb-rs,influxdb-rust,Rust,Needs Improvements,1,300,84,300,30,20,20,40,1452,24,2600,33,1,1,0.2,0.6333,0.0333,0.2,336.6,31.9333,8,0.0115,144,0.45,0.7,2.25,1.0,0.85,0.325,0.175,0.15,0.125,0.0,1,1,1,4,4,0.1667,0.1333,193.1111,40.2353,1,1.4,4245.05
onozaty_redmine-view-customize,onozaty,redmine-view-customize,Ruby,Production Ready,1,295,67,295,30,20,20,59,663,1,4420,1,1,1,0.4,0.3667,0.0,0.0333,137.7333,19.6667,3,0.0068,8,1.0,0.6,5.0,0.0,1.0,0.2542,0.0339,0.0508,0.0847,0.2203,1,1,0,0,3,0.6333,0.1,13.85,2.45,3,1.5932,5515.5085
Bourhjoul_Mern-Ecommerce-website,Bourhjoul,Mern-Ecommerce-website,JavaScript,Not Ready,0,300,91,300,16,8,20,100,6725,147,1930,5,0,1,0.25,0.0625,0.0,0.1875,49.75,6.3125,5,0.0083,1495,0.0,0.375,0.75,1.0,0.0,0.52,0.02,0.04,0.0,0.3,0,0,0,1,5,0.5,0.375,0.0,0.0,3,2.85,28585.15
librepods-org_librepods,librepods-org,librepods,Kotlin,Needs Improvements,1,29018,1621,29018,30,20,20,100,189301,212,655,0,1,1,0.4,0.2333,0.0333,0.2667,62.4333,9.8667,2,0.0458,0,0.2,0.4,0.7,0.0,0.05,0.76,0.03,0.05,0.0,0.0,1,0,0,0,10,0.4,0.2,0.0,0.0,3,7.64,9387.65
tauri-apps_tauri,tauri-apps,tauri,Rust,Production Ready,1,109033,3773,109033,30,20,20,100,106222,1428,2557,0,1,1,0.4667,0.3667,0.2667,0.1,262.9667,35.3667,10,0.0117,0,0.3,0.8,1.2,0.0,0.3,0.05,0.06,0.06,0.04,0.05,1,1,1,2,2,0.1333,0.1333,0.5,0.6667,3,1.31,64053.77
rfjakob_cshatag,rfjakob,cshatag,Go,Needs Improvements,1,300,26,300,30,18,20,35,94,1,5175,0,1,1,0.2333,0.5,0.0,0.1,283.0667,25.6333,2,0.0058,0,0.9444,0.6111,3.5556,1.0,0.75,0.1143,0.0857,0.0857,0.5143,0.0,1,0,0,1,2,0.1667,0.1667,160.4706,39.1333,2,0.6571,1296.7143
yangshun_tech-interview-handbook,yangshun,tech-interview-handbook,TypeScript,Needs Improvements,1,140835,16669,140835,30,20,20,100,33749,45,3661,0,1,1,0.4,0.0667,0.0,0.0333,49.2,7.1667,13,0.0082,99,0.45,0.45,1.4,0.7273,0.45,0.06,0.06,0.04,0.01,0.16,1,0,1,1,5,0.0333,0.7333,109.7778,5.4444,2,3.8,53288.11
Mooncake-Labs_pg_mooncake,Mooncake-Labs,pg_mooncake,Rust,Needs Improvements,1,1986,71,1986,30,20,20,33,633,14,677,3,1,1,0.1,0.4667,0.1,0.1667,62.7667,8.5,5,0.0443,261,0.55,0.45,2.5,1.0,0.25,0.2121,0.0909,0.1515,0.1818,0.0,0,1,0,1,3,0.2,0.4,12.8182,3.4,3,1.2121,1404.5758
jimmc414_onefilellm,jimmc414,onefilellm,Python,Production Ready,1,1995,176,1995,30,20,20,23,1197,3,1215,0,1,1,0.3,0.3,0.0333,0.1667,396.9667,53.5667,3,0.0247,31,0.85,0.7,1.85,0.6667,0.95,0.3043,0.1304,0.1739,0.1304,0.0,0,0,0,3,2,0.2667,0.2333,16.1176,9.8421,4,0.7826,30154.3043
hadix-lin_ideavim_extension,hadix-lin,ideavim_extension,Kotlin,Needs Improvements,1,296,42,296,30,20,20,20,196,8,3385,12,1,1,0.0667,0.0,0.0,0.0667,40.9667,4.8333,8,0.0089,204,0.75,0.25,3.75,0.8,0.7,0.6,0.1,0.05,0.0,0.0,0,0,0,0,8,0.1333,0.4333,61.9333,3.0714,1,5.15,19969.55
luizomf_curso-js,luizomf,curso-js,JavaScript,Not Ready,0,1990,720,1990,30,4,20,100,13679,55,2454,0,0,1,0.0,0.1333,0.0,0.0,76.7667,7.2,4,0.0122,1424,0.75,0.25,0.75,1.0,0.0,0.68,0.05,0.14,0.0,0.0,0,0,0,3,6,0.6333,0.6667,51.0,0.0,3,3.71,21394.69
fjordllc_bootcamp,fjordllc,bootcamp,Ruby,Not Ready,0,294,79,294,30,20,20,100,138404,189,5105,0,1,1,0.0333,0.1667,0.0,0.0,41.1,3.3333,4,0.0059,0,0.15,0.55,0.4,0.0,0.45,0.08,0.02,0.04,0.0,0.28,1,1,0,1,4,0.1333,0.1667,1.6667,0.2222,3,1.87,90888.27
FiloSottile_mkcert,FiloSottile,mkcert,Go,Needs Improvements,1,59291,3130,59291,30,20,20,16,1799,174,2941,0,1,1,0.5333,0.2,0.0,0.1333,107.4,16.8667,9,0.0102,817,0.1,0.55,0.75,0.6111,0.0,0.4375,0.125,0.0,0.0625,0.0,1,0,0,1,2,0.3667,0.2667,0.0,0.0,1,0.5,3485.6875
vercel_next.js,vercel,next.js,JavaScript,Production Ready,1,141069,31574,141069,30,20,20,100,2507339,4165,3568,0,1,1,0.4333,0.5,0.1,0.1667,687.1667,93.1,14,0.0084,0,0.8,1.0,1.15,0.0,0.2,0.1,0.05,0.04,0.14,0.0,0,0,0,3,5,0.1333,0.1333,0.0,0.0,3,2.81,69290.96
ClickHouse_ClickHouse,ClickHouse,ClickHouse,C++,Needs Improvements,1,48626,8643,48626,30,20,20,100,8318944,6320,3694,0,1,1,0.4667,0.2333,0.0,0.1667,158.3667,17.9333,12,0.0081,0,0.4,1.0,1.55,0.0,0.0,0.19,0.02,0.02,0.08,0.0,0,0,0,0,5,0.0,0.5,0.0,0.0,4,2.67,8374.51
angular_angular,angular,angular,TypeScript,Production Ready,1,100646,27517,100646,30,20,20,100,647244,1132,4316,0,1,1,0.5,0.4,0.1667,0.4667,310.0333,43.1,15,0.007,0,0.5,0.85,3.35,0.0,0.3,0.02,0.08,0.03,0.02,0.0,1,0,1,0,4,0.0667,0.1667,0.2,0.3333,2,1.53,53025.72
obsproject_obs-studio,obsproject,obs-studio,C,Needs Improvements,1,73860,9420,73860,30,20,20,100,82849,1116,4669,0,1,1,0.3,0.1667,0.0,0.0,124.6,18.9333,10,0.0064,3,0.65,0.35,1.65,0.0,0.2,0.02,0.02,0.06,0.01,0.0,1,0,1,0,3,0.1333,0.3333,1.1538,0.75,1,2.12,3806.29
ttnear_Clarc,ttnear,Clarc,Swift,Production Ready,1,300,31,300,30,7,9,100,7594,0,91,1,1,1,0.4,0.4333,0.0333,0.2667,369.0667,51.8,1,0.3297,8,1.0,0.4286,1.7143,0.0,0.7778,0.65,0.01,0.01,0.03,0.08,0,0,0,0,5,0.2,0.5667,2.4286,0.2857,1,2.9,13592.77
thoughtbot_gitsh,thoughtbot,gitsh,Ruby,Production Ready,1,1958,102,1958,30,20,20,100,6317,41,4636,52,1,1,0.4667,0.4,0.1333,0.0667,417.6,64.4667,3,0.0065,2401,0.3,0.35,1.65,1.0,0.65,0.76,0.05,0.01,0.0,0.02,1,0,1,1,4,0.4,0.4,25.0,30.8462,3,2.37,2135.63
