repo_key,owner,repository,language,repository_quality_index,deployment_label,deployment_ready,repository_score,commit_activity_score,issue_activity_score,pr_activity_score,file_complexity_score,stars,forks,watchers,total_commits,total_issues,total_prs,total_files,size,open_issues,repository_age_days,last_update_days,has_license,has_description,popularity_score,bug_fix_ratio,feature_commit_ratio,refactor_commit_ratio,documentation_commit_ratio,average_commit_length,average_commit_words,author_diversity,commit_frequency,days_since_last_commit,closed_issue_ratio,bug_issue_ratio,average_issue_comments,stale_issue_ratio,merged_pr_ratio,average_changed_files,average_code_churn,source_code_ratio,documentation_ratio,config_ratio,test_ratio,binary_ratio,has_ci_cd,has_dockerfile,has_contributing_guide,dependency_file_count,max_directory_depth,weekend_commit_ratio,night_commit_ratio,average_issue_resolution_days,average_review_comments,average_merge_days,language_diversity,average_directory_depth,average_file_size
FuelLabs_sway,FuelLabs,sway,Rust,52.71,Production Ready,1,52.71,88.0,13.0,59.06,27.6,61573,5416,61573,30,20,20,100,118563,917,2001,0,1,1,47533.75,0.9667,0.9,0.4667,0.8667,2062.2333,323.3667,5,0.015,0,0.25,0.9,0.0,0.0,0.9,0.0,0.0,0.02,0.66,0.1,0.0,0.0,1,1,0,3,5,0.1,0.1333,27.8,0.0,1.4444,2,3.13,5250.37
microsoft_markitdown,microsoft,markitdown,Python,51.71,Production Ready,1,51.71,62.67,50.79,20.0,33.47,165707,11855,165707,30,20,20,100,4286,836,607,0,1,1,127244.0,0.6,0.4,0.2667,0.3667,298.7,42.5667,18,0.0494,48,0.55,0.3,0.7,0.0,0.0,0.0,0.0,0.37,0.08,0.08,0.37,0.11,1,1,0,4,7,0.0,0.5,2.9091,0.0,0.0,1,3.43,193976.07
TheAlgorithms_Python,TheAlgorithms,Python,Python,51.56,Production Ready,1,51.56,61.67,22.98,20.0,36.6,222679,50835,222679,30,20,20,100,16568,1014,3649,0,1,1,179718.0,0.5667,0.5,0.1333,0.3333,467.3667,41.0333,21,0.0082,7,0.15,0.7,0.65,0.0,0.0,0.0,0.0,0.66,0.08,0.03,0.0,0.0,1,1,1,0,2,0.0,0.5333,2.6667,0.0,0.0,1,1.02,2538.88
mrdoob_three.js,mrdoob,three.js,JavaScript,50.87,Production Ready,1,50.87,33.33,54.92,62.75,33.71,113724,36424,113724,30,20,20,100,1636864,395,5956,0,1,1,94399.0,0.2333,0.2,0.1,0.0667,76.1667,7.5,14,0.005,0,0.95,0.8,1.55,0.0,0.95,0.0,0.0,0.12,0.63,0.03,0.0,0.03,1,0,1,0,2,0.2667,0.0667,0.6316,0.0,0.0,3,1.62,80154.65
microsoft_vscode,microsoft,vscode,TypeScript,50.81,Production Ready,1,50.81,54.33,13.85,47.0,34.35,187538,41264,187538,30,20,20,100,1321152,19252,3966,0,1,1,150969.5,0.5,0.3667,0.0667,0.1,641.8,79.8333,20,0.0076,0,0.05,0.95,0.35,0.0,0.6,0.0,0.0,0.47,0.02,0.04,0.06,0.0,0,1,0,1,4,0.0,0.6,0.0,0.0,0.0,2,1.3,3495.09
TheAlgorithms_Java,TheAlgorithms,Java,Java,50.47,Production Ready,1,50.47,63.33,37.55,42.5,40.9,66005,21226,66005,30,20,20,100,7492,22,3649,0,1,1,54810.25,0.4,0.9,0.0667,0.1333,358.1333,31.3333,11,0.0082,0,0.7,0.75,2.05,0.0,0.5,0.0,0.0,0.69,0.03,0.03,0.0,0.0,1,1,1,1,6,0.2667,0.1333,10.2857,0.0,0.0,2,4.4,4645.61
graniet_kheish,graniet,kheish,Rust,50.45,Production Ready,1,50.45,29.87,80.0,64.4,46.65,299,23,299,30,1,10,100,11954,0,580,0,1,1,230.0,0.1,0.7,0.0,0.0333,57.4667,7.5333,2,0.0517,18,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.82,0.03,0.11,0.02,0.0,0,1,0,8,5,0.0667,0.0,0.0,0.0,0.6,2,3.32,25093.08
alacritty_alacritty,alacritty,alacritty,Rust,50.24,Production Ready,1,50.24,56.33,61.74,35.32,38.82,64884,3517,64884,30,20,20,100,14577,335,3799,0,1,1,49542.25,0.5333,0.4667,0.0667,0.0333,208.0,33.2333,18,0.0079,0,0.95,0.6,1.95,0.0,0.35,0.0,0.0,0.61,0.05,0.08,0.0,0.01,1,0,1,4,4,0.3333,0.5333,0.2105,0.0,0.4286,2,2.23,12715.63
avelino_awesome-go,avelino,awesome-go,Go,50.17,Production Ready,1,50.17,46.47,50.75,47.0,19.91,178120,13406,178120,30,20,20,94,11773,189,4390,0,1,1,136941.5,0.1333,0.9,0.0,0.1,74.5333,9.8,27,0.0068,0,0.7,0.25,0.25,0.0,0.6,0.0,0.0,0.0532,0.0426,0.0213,0.0638,0.5106,1,0,1,1,3,0.2,0.2,26.6429,0.0,0.0,3,2.0319,26510.1489
google_guava,google,guava,Java,50.0,Production Ready,1,50.0,52.33,50.06,62.75,29.85,51522,11137,51522,30,20,20,100,1378042,740,4428,0,1,1,41425.75,0.4,0.3333,0.0667,0.1667,392.8,42.8667,5,0.0068,0,0.8,0.65,3.0,0.25,0.95,0.0,0.0,0.0,0.03,0.04,0.85,0.0,1,0,1,2,9,0.0667,0.3,5.4375,0.0,0.0,1,6.99,4586.87
Significant-Gravitas_AutoGPT,Significant-Gravitas,AutoGPT,Python,49.93,Production Ready,1,49.93,73.83,23.4,31.05,17.2,185520,46084,185520,30,20,20,100,631970,499,1215,0,1,1,150661.0,0.8,0.8667,0.1,0.4,2925.3667,412.5667,7,0.0247,3,0.2,0.8,0.9,0.0,0.25,0.0,0.0,0.01,0.01,0.01,0.03,0.0,1,0,0,0,4,0.1333,0.2333,1.5,0.0,0.2,2,3.06,5046.58
CultivateLabs_raif,CultivateLabs,raif,Ruby,49.65,Production Ready,1,49.65,46.67,60.88,56.6,45.17,296,12,296,30,8,20,100,7074,2,496,3,1,1,225.0,0.1333,0.7,0.0,0.1,381.6667,41.7,3,0.0605,3,1.0,0.375,2.125,0.0,0.85,0.0,0.0,0.7,0.03,0.01,0.01,0.01,1,0,1,1,6,0.0333,0.3,96.375,0.0,1.6471,4,3.43,3649.56
react_react,react,react,JavaScript,49.27,Production Ready,1,49.27,63.16,24.24,21.25,19.35,246462,51207,246462,30,20,20,100,1021473,1205,4798,0,1,1,197648.25,0.8333,0.5333,0.0333,0.0333,1285.7,168.1333,13,0.0063,4,0.35,1.0,0.95,0.0,0.05,0.0,0.0,0.07,0.08,0.07,0.15,0.0,1,0,1,1,7,0.0,0.2333,0.7143,0.0,1.0,1,2.32,5423.64
nlohmann_json,nlohmann,json,C++,49.09,Production Ready,1,49.09,67.17,33.9,56.0,27.83,50116,7429,50116,30,20,20,100,266163,64,4758,0,1,1,39444.25,0.7667,0.5333,0.0333,0.5667,1275.3333,162.0667,5,0.0063,2,0.7,1.0,5.9,0.3333,0.8,0.0,0.0,0.02,0.43,0.06,0.02,0.04,1,0,1,0,5,0.2667,0.0333,37.6429,0.0,0.0,3,2.3,41864.16
supabase_supabase,supabase,supabase,TypeScript,49.01,Production Ready,1,49.01,74.83,34.35,40.25,18.65,106335,13209,106335,30,20,20,100,2407381,1089,2467,0,1,1,83053.5,0.7333,0.7,0.5667,0.2667,1272.4,165.6667,20,0.0122,0,0.5,0.9,1.65,0.0,0.45,0.0,0.0,0.0,0.03,0.0,0.31,0.0,1,0,0,0,4,0.0667,0.2333,0.3,0.0,0.0,1,2.59,3215.81
robzilla1738_harness-terminal,robzilla1738,harness-terminal,Swift,49.01,Production Ready,1,49.01,55.5,46.58,62.75,37.97,296,22,296,30,17,20,100,18086,7,47,1,1,1,227.5,0.7,0.4,0.1,0.3,1323.4,171.7667,3,0.6383,30,0.6471,0.6471,0.4706,0.0,0.95,0.0,0.0,0.65,0.02,0.02,0.0,0.16,1,0,0,0,6,0.3667,0.3333,0.3636,0.0,0.0,2,4.33,101428.74
github_spec-kit,github,spec-kit,Python,48.96,Production Ready,1,48.96,68.17,34.78,37.75,24.2,120901,10752,120901,30,20,20,100,12746,351,326,0,1,1,93363.75,0.7667,0.5667,0.1,0.5,1442.3333,178.9667,9,0.092,0,0.45,0.8,1.45,0.0,0.4,0.0,0.0,0.0,0.44,0.04,0.06,0.0,1,0,1,0,3,0.0,0.1333,0.6667,0.0,0.25,2,1.58,12242.67
activeadmin_demo.activeadmin.info,activeadmin,demo.activeadmin.info,Ruby,48.95,Production Ready,1,48.95,49.33,65.4,60.5,33.5,298,129,298,30,20,20,100,1787,1,5625,7,0,1,255.75,0.2,0.9667,0.0,0.0,783.8667,50.9333,2,0.0053,7,1.0,0.25,2.9,0.0,0.9,0.0,0.0,0.29,0.01,0.04,0.16,0.05,1,0,0,2,3,0.0,0.0333,581.65,0.0,0.0,5,1.47,1692.07
jtdowney_tsbridge,jtdowney,tsbridge,Go,48.95,Production Ready,1,48.95,65.17,46.67,61.22,28.62,300,11,300,30,20,20,100,1790,17,387,12,1,1,227.75,0.7333,0.7333,0.1667,0.7333,2775.6333,228.8667,2,0.0775,36,0.55,0.45,2.9,0.8889,0.95,0.0,0.0,0.27,0.11,0.08,0.24,0.01,1,1,0,1,2,0.2333,0.8333,4.7273,0.0,1.5263,1,1.57,16096.58
gohugoio_hugo,gohugoio,hugo,Go,48.93,Production Ready,1,48.93,57.17,38.86,39.69,39.1,88969,8285,88969,30,20,20,100,142875,232,4757,0,1,1,68798.0,0.4,0.6333,0.0333,0.1,314.0333,32.0,7,0.0063,2,0.55,0.7,1.5,0.0,0.45,0.0,0.0,0.49,0.03,0.03,0.26,0.0,1,1,1,0,2,0.2333,0.0333,3.6364,0.0,0.5556,2,1.41,4797.04
rustdesk_rustdesk,rustdesk,rustdesk,Rust,48.59,Production Ready,1,48.59,52.17,50.4,36.0,30.99,118198,17970,118198,30,20,20,100,76402,117,2114,0,1,1,93141.0,0.5333,0.2,0.1667,0.0,599.4,73.4333,13,0.0142,0,0.95,0.95,0.9,0.0,0.4,0.0,0.0,0.03,0.64,0.05,0.0,0.02,1,1,1,1,6,0.2333,0.2667,0.0,0.0,2.0,3,1.12,9210.59
vinta_awesome-python,vinta,awesome-python,Python,48.57,Production Ready,1,48.57,42.07,0.0,39.58,28.06,308048,28304,308048,30,0,20,33,5775,17,4399,0,1,1,238112.0,0.3333,0.5333,0.0333,0.0667,63.2667,8.5667,16,0.0068,0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.1212,0.1212,0.0909,0.0909,0.0909,1,0,1,1,2,0.3667,0.1333,0.0,0.0,0.6667,4,1.1212,15759.3939
icsharpcode_ILSpy,icsharpcode,ILSpy,C#,48.44,Production Ready,1,48.44,56.17,43.61,57.07,35.77,25634,3681,25634,30,20,20,100,52862,207,5638,0,1,1,20145.75,0.7,0.4667,0.0333,0.0333,628.1333,86.2333,4,0.0053,1,0.8,0.8,1.05,0.0,0.85,0.0,0.0,0.54,0.03,0.03,0.01,0.01,1,0,1,0,4,0.5,0.1333,5.4375,0.0,1.1765,2,1.98,4902.64
autobrr_mkbrr,autobrr,mkbrr,Go,48.39,Production Ready,1,48.39,56.16,64.45,57.33,27.46,300,20,300,30,20,20,100,7619,2,541,0,1,1,230.0,0.4333,0.5333,0.0333,0.1333,579.9333,78.2,9,0.0555,8,0.95,0.15,0.95,1.0,0.95,0.0,0.0,0.16,0.1,0.06,0.02,0.08,1,1,0,3,5,0.2667,0.0,44.7895,0.0,5.4211,7,3.01,34286.49
airbnb_javascript,airbnb,javascript,JavaScript,48.27,Production Ready,1,48.27,43.73,68.76,22.25,30.33,148086,26632,148086,30,20,20,63,3738,160,5002,0,1,1,117722.5,0.3333,0.3,0.0333,0.2333,99.0667,13.2333,21,0.006,89,0.9,0.25,0.65,1.0,0.05,0.0,0.0,0.3651,0.127,0.1111,0.127,0.0,1,0,0,3,3,0.2667,0.3,0.3889,0.0,0.0,1,1.9841,5754.2381
sipcapture_homer,sipcapture,homer,Go,48.24,Production Ready,1,48.24,48.67,69.35,60.17,28.87,1987,270,1987,30,20,20,100,9303,0,4490,0,1,1,1557.75,0.5,0.1667,0.0,0.0333,251.1667,29.9333,5,0.0067,0,1.0,0.4,2.35,0.0,0.9,0.0,0.0,0.0,0.53,0.04,0.03,0.01,1,1,0,1,3,0.0333,0.1,1.0,0.0,0.3333,3,1.34,8063.07
clash-verge-rev_clash-verge-rev,clash-verge-rev,clash-verge-rev,TypeScript,48.18,Production Ready,1,48.18,50.0,43.7,43.84,27.44,131396,9503,131396,30,20,20,100,76872,418,965,0,1,1,100922.75,0.5667,0.1333,0.3,0.0333,138.2333,16.1667,8,0.0311,0,0.65,0.8,2.55,0.0,0.55,0.0,0.0,0.11,0.13,0.12,0.03,0.02,1,0,1,8,3,0.4333,0.4,0.8462,0.0,0.9091,3,1.51,16894.16
simgine_bevy_enhanced_input,simgine,bevy_enhanced_input,Rust,48.05,Production Ready,1,48.05,50.0,50.4,59.78,40.29,300,47,300,30,20,20,85,1116,11,645,0,1,1,236.75,0.1667,0.4667,0.0667,0.1333,357.7,34.0667,7,0.0465,13,0.8,0.7,2.4,0.75,0.9,0.0,0.0,0.6941,0.0235,0.0353,0.1647,0.0,1,0,0,2,3,0.2333,0.2333,3.0,0.0,0.7222,1,1.4471,6315.1882
affaan-m_ECC,affaan-m,ECC,JavaScript,47.93,Production Ready,1,47.93,76.33,20.83,20.0,8.95,229409,35143,229409,30,20,20,100,39505,105,177,0,1,1,180842.5,0.8667,0.7,0.2,0.7,3200.3,386.3,14,0.1695,0,0.15,0.85,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.04,0.0,0,0,0,0,4,0.7333,0.8,0.6667,0.0,0.0,0,3.28,3388.46
firecrawl_firecrawl,firecrawl,firecrawl,TypeScript,47.85,Production Ready,1,47.85,51.33,29.15,42.3,31.55,150609,8600,150609,30,20,20,100,95790,396,819,0,1,1,115106.75,0.4667,0.3333,0.0,0.3333,330.8667,41.7667,4,0.0366,0,0.4,0.8,0.9,0.0,0.5,0.0,0.0,0.23,0.04,0.11,0.09,0.0,1,1,1,3,6,0.3667,0.1667,3.75,0.0,0.2,4,2.54,5753.61
microsoft_PowerToys,microsoft,PowerToys,C,47.83,Production Ready,1,47.83,81.17,31.1,28.25,13.15,136580,8363,136580,30,20,20,100,511294,7370,2630,0,1,1,104525.75,0.9,0.8667,0.2333,0.7333,2723.8333,317.8333,15,0.0114,1,0.25,0.65,0.6,0.0,0.2,0.0,0.0,0.01,0.02,0.01,0.02,0.0,0,0,0,0,5,0.1333,0.3333,0.0,0.0,0.75,1,3.04,6754.13
vercel_next.js,vercel,next.js,JavaScript,47.78,Production Ready,1,47.78,56.83,43.15,29.0,27.45,141069,31574,141069,30,20,20,100,2507339,4165,3568,0,1,1,113695.25,0.4333,0.5,0.1,0.1667,687.1667,93.1,14,0.0084,0,0.8,1.0,1.15,0.0,0.2,0.0,0.0,0.1,0.05,0.04,0.14,0.0,0,0,0,3,5,0.1333,0.1333,0.0,0.0,0.0,3,2.81,69290.96
pcccccc_AngelLive,pcccccc,AngelLive,Swift,47.75,Production Ready,1,47.75,45.0,75.02,40.75,43.37,1930,94,1930,30,20,8,100,165131,2,1106,0,1,0,1471.0,0.6,0.2667,0.0667,0.0667,380.7667,37.2333,2,0.0271,0,0.95,0.1,1.65,0.0,0.5,0.0,0.0,0.88,0.01,0.03,0.01,0.01,0,0,0,0,7,0.1333,0.3667,1.6316,0.0,1.75,1,4.82,9679.93
jaredwray_cacheable,jaredwray,cacheable,TypeScript,47.7,Production Ready,1,47.7,52.34,54.87,65.0,28.75,1996,203,1996,30,20,20,100,4880,1,4846,0,1,1,1547.75,0.5667,0.5667,0.2,0.3667,1476.2,182.8333,1,0.0062,5,0.95,0.75,1.95,0.0,1.0,0.0,0.0,0.15,0.14,0.08,0.43,0.0,1,1,1,6,4,0.3,0.3,2.5789,0.0,0.0,1,2.26,6980.26
2dust_v2rayNG,2dust,v2rayNG,Kotlin,47.7,Production Ready,1,47.7,47.17,62.57,32.83,41.92,59521,7753,59521,30,20,20,100,268235,17,2617,0,1,1,46579.0,0.2333,0.2667,0.1,0.0667,311.0,40.2667,13,0.0115,3,0.85,0.4,1.75,0.0,0.3,0.0,0.0,0.72,0.02,0.01,0.02,0.01,1,0,0,0,10,0.6,0.2333,1.1765,0.0,0.6667,2,7.57,4897.05
muxy-app_muxy,muxy-app,muxy,Swift,47.67,Production Ready,1,47.67,51.83,43.89,57.84,42.55,1974,166,1974,30,20,20,100,11327,37,104,0,1,1,1522.0,0.4667,0.2,0.1667,0.1,173.3667,25.3,6,0.2885,0,0.35,0.3,0.6,0.0,0.85,0.0,0.0,0.74,0.03,0.02,0.0,0.0,1,0,1,0,4,0.2333,0.0667,1.7143,0.0,0.4118,2,2.37,2672.95
mekos2772_ios-location-spoofer,mekos2772,ios-location-spoofer,JavaScript,47.44,Production Ready,1,47.44,55.33,61.73,59.69,24.4,1985,305,1985,30,20,18,25,6791,10,13,0,1,1,1565.0,0.6,0.2,0.0667,0.3333,197.0667,25.2667,12,2.3077,4,0.55,0.05,1.5,0.0,0.8889,0.0,0.0,0.24,0.16,0.16,0.0,0.0,0,0,0,1,3,0.1,0.2,0.2727,0.0,0.3125,1,0.96,11165.92
64bit_async-openai,64bit,async-openai,Rust,47.36,Production Ready,1,47.36,53.67,46.95,51.5,42.65,1963,387,1963,30,20,20,100,23020,21,1341,0,1,1,1569.0,0.4667,0.2667,0.1333,0.2,328.8,45.5667,10,0.0224,25,0.85,0.65,2.45,0.0,0.7,0.0,0.0,0.84,0.05,0.05,0.0,0.0,1,0,1,3,5,0.0667,0.5,27.4118,0.0,0.0,1,2.64,3452.96
fajarhide_omni,fajarhide,omni,Rust,47.15,Production Ready,1,47.15,50.0,60.83,64.35,26.21,300,29,300,30,6,20,100,6060,0,121,1,1,1,232.25,0.1667,0.4333,0.2667,0.5,1621.8333,141.5,3,0.2479,19,1.0,0.6667,1.1667,0.0,1.0,0.0,0.0,0.07,0.14,0.09,0.05,0.03,1,0,1,5,2,0.1,0.3333,0.3333,0.0,0.65,4,1.44,16074.76
filamentphp_filament,filamentphp,filament,PHP,47.09,Production Ready,1,47.09,44.17,43.95,58.19,41.2,31441,4188,31441,30,20,20,100,554131,18,2308,0,1,1,24627.75,0.4333,0.2,0.0333,0.1667,121.7667,14.3333,8,0.013,0,0.9,0.95,1.95,0.0,0.85,0.0,0.0,0.56,0.04,0.06,0.02,0.0,1,0,0,1,9,0.7667,0.1,5.5,0.0,0.0588,3,3.64,7496.73
cutterbl_SoundTouchJS,cutterbl,SoundTouchJS,TypeScript,46.91,Production Ready,1,46.91,49.83,67.3,62.75,22.5,300,43,300,30,20,20,100,18275,1,2884,2,1,1,235.75,0.5667,0.4,0.1667,0.2,423.1667,52.3,2,0.0104,5,1.0,0.15,1.8,0.0,0.95,0.0,0.0,0.05,0.05,0.02,0.01,0.05,1,0,0,1,4,0.0,0.0,242.85,0.0,0.0,3,2.67,180370.55
2dust_v2rayN,2dust,v2rayN,C#,46.8,Production Ready,1,46.8,45.8,40.99,39.81,36.35,111313,15519,111313,30,20,20,100,48878,13,2541,0,1,1,87364.5,0.3333,0.2333,0.1,0.0333,145.0333,17.6333,9,0.0118,0,0.7,1.0,3.35,0.0,0.45,0.0,0.0,0.45,0.02,0.03,0.2,0.0,1,0,0,0,4,0.3667,0.6,0.3571,0.0,0.4444,2,2.32,6293.85
practical-tutorials_project-based-learning,practical-tutorials,project-based-learning,Python,46.62,Production Ready,1,46.62,53.67,20.9,22.0,16.64,273233,35240,273233,30,20,20,14,445,286,3380,0,1,1,213734.75,0.4333,0.4,0.0,0.2,232.0667,29.1667,16,0.0089,0,0.2,0.6,0.9,0.6875,0.1,0.0,0.0,0.0714,0.1429,0.0,0.0,0.0,1,0,1,0,2,0.8,0.6667,50.0,0.0,2.5,1,1.2143,16711.0714
NousResearch_hermes-agent,NousResearch,hermes-agent,Python,46.55,Production Ready,1,46.55,61.33,13.2,20.0,28.26,214502,39869,214502,30,20,20,100,494660,24643,356,0,1,1,170843.75,0.8333,0.4333,0.0667,0.0,457.1667,61.9333,11,0.0843,0,0.0,0.9,0.2,0.0,0.0,0.0,0.0,0.45,0.03,0.03,0.02,0.08,1,1,1,0,3,0.0,0.2333,0.0,0.0,0.0,1,1.21,37804.34
pschlan_cron-job.org,pschlan,cron-job.org,JavaScript,46.47,Production Ready,1,46.47,53.0,47.1,55.38,36.85,1997,294,1997,30,20,20,100,7635,35,3450,0,1,1,1571.25,0.3667,0.5,0.0667,0.2667,581.3333,75.5667,4,0.0087,11,0.6,0.25,0.6,0.5,0.8,0.0,0.0,0.6,0.03,0.04,0.15,0.0,1,1,0,0,2,0.1333,0.0,49.6667,0.0,0.625,1,1.8,1536.76
huggingface_transformers,huggingface,transformers,Python,46.35,Production Ready,1,46.35,65.33,30.29,24.5,20.45,162589,33877,162589,30,20,20,100,514929,2478,2814,0,1,1,130411.0,0.7,0.5333,0.1333,0.3667,855.3,104.8333,19,0.0107,0,0.45,0.95,1.35,0.0,0.1,0.0,0.0,0.06,0.05,0.04,0.06,0.0,1,0,1,0,3,0.0333,0.2,0.5556,0.0,0.0,2,1.57,5587.63
ttnear_Clarc,ttnear,Clarc,Swift,46.28,Production Ready,1,46.28,42.83,66.43,54.72,34.96,300,31,300,30,7,9,100,7594,0,91,1,1,1,232.75,0.4,0.4333,0.0333,0.2667,369.0667,51.8,1,0.3297,8,1.0,0.4286,1.7143,0.0,0.7778,0.0,0.0,0.65,0.01,0.01,0.03,0.08,0,0,0,0,5,0.2,0.5667,2.4286,0.0,0.2857,1,2.9,13592.77
level1techs_siomon,level1techs,siomon,Rust,46.27,Production Ready,1,46.27,57.33,43.75,48.56,39.82,300,18,300,30,20,20,100,1081,23,126,3,1,0,229.5,0.4,0.7,0.0667,0.2333,458.1333,62.8333,4,0.2381,48,0.25,0.2,2.15,0.8,0.65,0.0,0.0,0.65,0.05,0.04,0.0,0.01,1,0,1,1,5,0.3333,0.5333,2.4,0.0,0.6923,2,3.31,9923.96
junegunn_fzf,junegunn,fzf,Go,46.23,Production Ready,1,46.23,48.67,38.12,52.5,30.45,81710,2812,81710,30,20,20,100,8340,325,4646,0,1,1,61985.5,0.3667,0.3,0.0,0.0333,330.4667,47.5,7,0.0065,4,0.6,0.9,3.7,0.0,0.8,0.0,0.0,0.31,0.04,0.04,0.13,0.0,1,1,0,2,2,0.5667,0.3667,2.5833,0.0,3.5,2,1.01,9151.11
